Experiment type: drug screen																																																																																													
Details: MK-1775; prexasertib; BAY1895344 dosage range;Control for each compound																																																																																													
Read-out: Confluency																																																																																													
Time point interval: 2 h																																																																																													
Total number of time points: 37																																																																																													
																																																																																													
																																																																																													
Date Time	Elapsed	"MK-1775 1590.41 nM,CellLine1 (1) 10K / well"	"MK-1775 45.7 nM,CellLine1 (1) 10K / well"	"BAY1895344 40.88 nM,CellLine1 (1) 10K / well"	"BAY1895344 0.15 nM,CellLine1 (1) 10K / well"	"Prexasertib 114.6 nM,CellLine1 (1) 10K / well"	"Prexasertib 1.4 nM,CellLine1 (1) 10K / well"	"CellsOnly 100%,CellLine1 (1) 10K / well"	"MK-1775 2640.81 nM,CellLine1 (1) 10K / well"	"MK-1775 75.88 nM,CellLine1 (1) 10K / well"	"BAY1895344 91.08 nM,CellLine1 (1) 10K / well"	"BAY1895344 0.33 nM,CellLine1 (1) 10K / well"	"Prexasertib 215.03 nM,CellLine1 (1) 10K / well"	"Prexasertib 2.63 nM,CellLine1 (1) 10K / well"	"MK-1775 4384.95 nM,CellLine1 (1) 10K / well"	"MK-1775 126 nM,CellLine1 (1) 10K / well"	"BAY1895344 202.92 nM,CellLine1 (1) 10K / well"	"BAY1895344 0.74 nM,CellLine1 (1) 10K / well"	"Prexasertib 403.45 nM,CellLine1 (1) 10K / well"	"Prexasertib 4.93 nM,CellLine1 (1) 10K / well"	"MK-1775 7281.01 nM,CellLine1 (1) 10K / well"	"MK-1775 209.22 nM,CellLine1 (1) 10K / well"	"BAY1895344 452.09 nM,CellLine1 (1) 10K / well"	"BAY1895344 1.66 nM,CellLine1 (1) 10K / well"	"Prexasertib 756.98 nM,CellLine1 (1) 10K / well"	"Prexasertib 9.25 nM,CellLine1 (1) 10K / well"	"DMSO_Prexasertib 0.09%,CellLine1_Control (1) 10K / well"	"MK-1775 12089.8 nM,CellLine1 (1) 10K / well"	"MK-1775 347.4 nM,CellLine1 (1) 10K / well"	"BAY1895344 1007.26 nM,CellLine1 (1) 10K / well"	"BAY1895344 3.7 nM,CellLine1 (1) 10K / well"	"Prexasertib 1420.3 nM,CellLine1 (1) 10K / well"	"Prexasertib 17.35 nM,CellLine1 (1) 10K / well"	"DMSO_BAY1895344 1%,CellLine1_Control (1) 10K / well"	"MK-1775 20074.6 nM,CellLine1 (1) 10K / well"	"MK-1775 576.84 nM,CellLine1 (1) 10K / well"	"BAY1895344 2244.17 nM,CellLine1 (1) 10K / well"	"BAY1895344 8.23 nM,CellLine1 (1) 10K / well"	"Prexasertib 2664.86 nM,CellLine1 (1) 10K / well"	"Prexasertib 32.55 nM,CellLine1 (1) 10K / well"	"DMSO_MK-1775 0.33%,CellLine1_Control (1) 10K / well"	"MK-1775 33333 nM,CellLine1 (1) 10K / well"	"MK-1775 957.81 nM,CellLine1 (1) 10K / well"	"BAY1895344 5000 nM,CellLine1 (1) 10K / well"	"BAY1895344 18.35 nM,CellLine1 (1) 10K / well"	"Prexasertib 5000 nM,CellLine1 (1) 10K / well"	"Prexasertib 61.08 nM,CellLine1 (1) 10K / well"	"MK-1775 1590.41 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 45.7 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 40.88 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 0.15 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 114.6 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 1.4 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"CellsOnly 100%,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 2640.81 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 75.88 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 91.08 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 0.33 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 215.03 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 2.63 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 4384.95 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 126 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 202.92 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 0.74 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 403.45 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 4.93 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 7281.01 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 209.22 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 452.09 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 1.66 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 756.98 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 9.25 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"DMSO_Prexasertib 0.09%,CellLine1_Control (1) 10K / well (Std Dev Img)"	"MK-1775 12089.8 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 347.4 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 1007.26 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 3.7 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 1420.3 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 17.35 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"DMSO_BAY1895344 1%,CellLine1_Control (1) 10K / well (Std Dev Img)"	"MK-1775 20074.6 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 576.84 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 2244.17 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 8.23 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 2664.86 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 32.55 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"DMSO_MK-1775 0.33%,CellLine1_Control (1) 10K / well (Std Dev Img)"	"MK-1775 33333 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"MK-1775 957.81 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 5000 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"BAY1895344 18.35 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 5000 nM,CellLine1 (1) 10K / well (Std Dev Img)"	"Prexasertib 61.08 nM,CellLine1 (1) 10K / well (Std Dev Img)"
09/10/2020 12:20	0	14.69359	16.86679	15.35368	15.62463	17.4294	18.23457	17.84084	16.20743	17.77771	14.99608	16.31829	17.59042	20.76197	16.68594	15.66891	16.95687	14.70075	19.35107	17.45099	13.49513	14.91747	13.29402	13.15996	15.32959	15.59704	16.04633	15.06155	17.86028	16.03047	13.94893	18.32023	17.11548	15.35068	15.55553	15.79552	16.79846	14.36365	18.46475	17.0857	15.88928	15.2482	15.11408	16.43557	13.68716	18.23413	16.77868	0.06434239	1.382104	0.8413023	0.7905387	0.2720367	2.468673	1.657412	0.7895454	0.481317	0.6092067	2.848505	1.173196	0.4923494	0.4183827	0.1006211	1.312105	1.059577	2.097009	2.679005	0.9608679	0.4728242	0.138508	0.3285161	0.6752235	1.234607	0.9612388	0.1102892	2.10915	1.992808	0.01135335	1.391516	0.2536256	0.5339136	1.088155	0.2024721	1.646571	0.1876128	0.4877854	0.4990942	0.5884779	0.1709712	0.3280515	0.6980449	2.093518	0.6930642	0.8786829
09/10/2020 14:20	2	14.73452	17.20492	16.32799	16.79034	18.50025	19.18145	18.69352	15.82547	18.45596	15.58955	17.34375	18.84661	21.45724	16.26353	16.48034	18.30685	15.55307	21.01793	17.88285	12.94476	15.55635	14.47557	14.16851	16.69293	16.28816	17.23154	14.24512	18.07597	16.78569	15.03187	20.57156	17.85991	16.82004	14.16798	16.09542	17.40617	15.07218	21.25056	17.74522	16.81691	13.71671	15.1345	16.77076	14.38531	22.43045	17.63206	0.2177751	1.308385	0.8325722	0.8138887	0.587198	3.132112	1.791012	0.5819873	0.966436	0.740305	2.381375	0.834807	0.6537293	0.4842578	0.5307657	1.587044	0.9549066	2.21207	3.342487	1.299967	0.5960684	0.4694566	0.1799266	1.354577	1.21158	1.029145	0.7595692	2.515803	2.427968	0.04403705	1.282567	0.4104712	0.8380682	0.9589494	0.5385841	1.724041	0.4382659	0.1217053	0.7502207	0.06098683	0.6340787	0.561717	0.4360439	1.684009	0.2156475	1.032851
09/10/2020 16:20	4	14.18013	18.39896	17.76959	17.68367	19.15447	20.33958	19.87762	14.99457	19.75441	16.97377	19.12344	19.16342	22.92528	15.4219	17.82304	20.02774	16.91113	21.94555	18.68259	12.31901	16.43846	15.50244	15.60224	17.2609	17.16964	18.21656	12.96989	18.84602	17.58979	16.28048	20.64188	18.18274	17.95266	12.78286	16.39683	18.29765	16.06961	21.13473	18.36559	18.05041	12.12146	15.314	17.52327	15.50286	22.05552	17.89293	0.2717332	1.241269	0.8957291	0.8045314	0.6196491	3.041914	1.935553	0.4524515	0.7768629	0.7919305	2.678618	1.093374	0.6210517	0.1856741	0.1796373	1.10421	1.011019	2.191028	3.487083	0.7100382	0.9009101	0.4697903	0.7526375	1.583614	1.18974	0.6586466	0.4810068	2.18973	1.813171	0.001758704	1.408494	0.05496893	0.09049906	0.6674281	0.02931263	1.627265	0.5923992	0.009138785	0.3995562	0.02013608	0.2007417	0.3548508	0.7277864	1.717318	0.6301851	0.8651028
09/10/2020 18:20	6	13.45768	19.13968	18.15226	18.53108	19.56066	20.8282	21.00023	13.20236	20.44085	17.40229	19.74794	19.48682	23.94989	13.91579	18.17584	20.33858	17.85327	22.09424	19.41644	10.77687	16.75561	15.5771	16.30387	17.17347	17.20795	19.66443	11.43044	18.92587	17.53916	17.11492	21.26177	18.61664	18.09588	11.29032	16.64215	18.53869	16.97665	21.06458	18.91503	18.64161	10.75782	15.37436	17.68277	16.26291	21.45251	18.68452	0.191839	1.438861	0.4125374	0.7783154	0.9162644	3.002756	2.002123	0.3342663	0.8554084	0.7914585	2.558882	0.9158463	1.099327	0.5962147	0.6633644	0.7683323	1.275289	2.267792	3.567569	0.6690573	1.121818	0.4671779	0.550127	1.374838	1.139655	1.25813	0.4824297	2.330575	2.47059	0.1837184	1.436532	0.4734676	0.2316971	0.2465928	0.04193645	2.777515	0.9146298	0.2764159	0.6739329	0.1322076	0.1074866	0.2905685	0.08956441	1.595483	0.4299626	0.9284984
09/10/2020 20:20	8	13.74385	20.24382	18.91206	19.29244	21.27412	22.93887	22.21927	12.43913	21.97721	18.45394	20.44378	21.35858	25.17791	13.5149	19.52003	21.43755	18.37418	23.4203	20.82172	10.14521	18.51352	16.35499	17.26822	18.42811	18.67723	20.88015	10.59997	20.53165	17.69653	17.89275	22.62845	20.47742	19.26622	10.24882	18.44473	18.66091	17.60752	22.18822	20.92417	19.94948	9.662968	16.26135	17.68035	17.08143	21.7074	19.46344	0.412124	1.152221	0.2668914	1.320352	0.6975135	3.085845	2.249988	0.3157966	0.7601053	0.4431893	2.695311	0.6042293	0.687382	0.2536606	0.7816845	1.581398	1.780129	2.655505	3.827136	0.6738796	1.584049	0.7150756	1.089911	1.635365	1.00535	0.8726259	0.8247032	2.247801	2.71991	0.2458112	1.666443	0.7129453	0.488012	0.09848741	0.3583453	2.325737	0.3264391	0.04998144	1.112755	0.1389295	0.1231052	0.1789602	0.5074561	1.759126	0.6304508	0.9403576
09/10/2020 22:20	10	14.34775	21.93467	20.32758	20.46306	23.14787	24.15503	23.82118	12.59876	24.48561	20.69776	21.91282	23.03418	27.68573	13.44485	21.62532	23.22386	19.80983	25.32718	22.95559	10.05552	20.57697	17.02095	18.23858	20.19362	20.41654	22.00327	10.35161	22.4829	19.07644	19.121	23.49921	22.33055	20.78837	9.930494	20.27789	19.40491	18.88808	23.54498	22.43952	21.20402	9.358156	18.23983	18.40069	18.03106	22.37738	21.08124	0.4502551	1.537609	0.6628304	0.7471901	0.5149212	2.935009	2.349365	0.5703305	0.7350302	0.9916486	2.675679	0.510372	1.060556	0.2741717	0.1372706	1.844875	1.766537	2.452145	3.613966	0.6343546	2.331618	0.6356122	1.033893	1.27654	1.645888	0.2671287	0.4950758	2.954408	2.303654	0.5182161	2.384483	0.5643726	0.004762257	0.3529202	0.1942181	2.428442	0.6746719	0.04981555	1.051613	0.2947595	0.0813333	0.1636754	0.9401404	2.14152	1.186915	1.325216
10/10/2020 00:20	12	14.99566	23.27621	22.25943	22.36792	24.92027	25.81973	25.4523	12.785	26.75431	22.67776	24.4771	24.30952	29.71128	13.59686	24.20442	26.01654	21.92189	27.22589	24.94958	9.940886	22.03236	18.19817	19.73765	21.39285	22.13444	23.43584	10.1158	24.65913	19.94089	20.40768	24.24121	24.03064	22.36407	9.672676	22.03694	20.18921	19.99675	23.8998	24.22414	22.55085	8.953646	19.44608	19.33175	19.68873	23.24619	22.06996	0.5446054	1.337057	0.9088196	1.201347	0.7937351	3.247851	2.50637	0.4892291	0.4370298	0.8917572	3.012499	0.971905	0.2463696	0.1522904	0.4122218	2.046349	2.190399	3.366624	4.272131	0.4373049	1.96215	0.4625863	1.131146	1.699999	2.082393	0.9755262	0.4818059	3.022768	2.604687	0.105591	2.319342	0.4139387	0.295736	0.3210734	0.409167	3.090614	0.655368	0.576701	0.7169091	0.3792232	0.05672899	0.6638675	0.3167636	2.388949	0.6292167	1.139953
10/10/2020 02:20	14	16.017	25.93137	24.22072	24.23712	25.79748	27.69069	27.47949	13.36297	29.15683	24.61862	26.47761	26.01574	32.30454	14.0638	26.29448	28.08776	23.89331	28.86638	26.74049	10.12051	23.98561	18.9821	21.67117	22.87518	23.89598	25.24831	10.04434	26.91072	20.60167	22.72134	25.74646	25.46993	24.3291	9.818106	23.86547	20.62286	22.0346	24.61073	25.42517	24.43153	9.013774	20.53529	19.53763	21.33654	24.09076	22.77568	0.6270264	1.534677	0.4385444	1.031762	0.2734919	3.833452	2.829939	0.1699051	0.7492914	1.067154	3.624912	0.708415	0.4952356	0.5534171	0.241525	1.827121	2.229742	3.12943	5.174298	0.5788421	1.743226	0.6222129	1.413824	1.637947	2.676105	0.9737082	0.5705139	3.029112	3.386865	0.4140803	2.310359	0.403868	0.363202	0.3406511	0.7773969	3.227007	0.9437671	1.307069	0.8412295	0.4759047	0.01062235	0.6098022	0.8244827	2.463322	1.132329	0.9579702
10/10/2020 04:20	16	16.62392	27.67243	26.26381	25.94883	26.61632	29.53848	29.43745	14.06449	31.61142	26.28187	28.52901	26.55155	34.68695	14.19077	28.07207	29.7885	26.0156	29.30485	29.09828	10.24416	25.78437	19.38942	23.18412	23.00608	25.61494	26.89981	10.20473	28.81829	20.91387	24.78179	25.66596	26.60627	26.25897	9.87216	25.56029	20.21459	23.88916	24.4669	26.43967	26.12655	9.2672	21.3554	19.43558	23.12558	23.98274	23.4896	0.7681206	2.823045	0.7196079	1.004428	0.1196418	4.210662	2.949598	0.1435387	1.102383	0.1528575	3.670683	1.150838	0.001726335	0.3334477	0.4125266	1.789486	2.416595	3.037902	5.755278	0.6794584	1.761942	1.408465	1.515865	2.38358	2.840797	1.021417	0.5417252	3.569845	3.085724	0.1535899	2.636196	0.6371268	0.77901	0.3847657	0.9636307	2.835188	0.5794403	0.008237855	1.343774	0.04705072	0.2011841	0.5719388	0.4991563	2.884541	0.7464942	0.8787476
10/10/2020 06:20	18	17.64017	30.03726	28.56797	27.94212	27.45527	32.1899	31.58848	15.19166	33.48873	28.49368	30.99999	27.84599	36.57164	15.1423	30.08608	31.33798	28.08101	29.87101	31.31567	10.77614	27.43331	20.51777	25.62941	23.01708	26.84538	28.87618	10.44487	30.73045	21.00635	26.80411	26.81126	27.88787	28.89781	10.2194	26.68726	20.40188	26.09023	25.34605	27.47726	28.49373	9.698146	22.20089	19.63187	24.42811	24.56821	24.42959	0.9447934	2.424411	1.066941	1.18238	0.6223329	4.329699	3.376842	0.3580371	1.14213	0.8384323	3.942372	1.389689	1.1063	0.1987976	0.01557343	2.204549	2.149988	2.842056	6.622308	0.8622794	1.742197	1.035526	1.672178	1.962721	2.370151	1.526642	0.5473284	2.894609	3.379015	0.5228179	2.299524	1.130695	0.7626085	0.4677498	0.6322796	3.100249	1.048774	0.9391882	1.785916	0.3131005	0.3540066	0.6614789	0.7622578	3.194538	0.994141	0.3215623
