You have an error from your header, please check bellow 

cellline, seeding, condition, compound, concentration, units, position from the input file

'unidentified', means that the information is missing.
	check in front the column position in your file

Input file headers: 
MCF7, 10Kperwell, Condition, MK-1775, 45.7, nM, [0]
MCF7, 10Kperwell, Condition, Prexasertib, 1.4, nM, [1]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 45.7_16, nM_nM, [2]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 45.7_10.7, nM_nM, [3]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 45.7_7.1, nM_nM, [4]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 45.7_4.7, nM_nM, [5]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 45.7_3.2, nM_nM, [6]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 45.7_2.1, nM_nM, [7]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 45.7_1.4, nM_nM, [8]
MCF7, 10Kperwell, Condition, OnlyCells, 100, %, [9]
MCF7, 10Kperwell, Condition, Prexasertib_WEE1singleeffect, 1.4_55.69, nM_nM, [10]
MCF7, 10Kperwell, Condition, BAY1895344_WEE1singleeffect, 0.16_55.69, nM_nM, [11]
MCF7, 10Kperwell, Condition, BAY1895344, 0.16, nM, [12]
MCF7, 10Kperwell, Condition, MK-1775_BAY1895344, 45.7_166.79, nM_nM, [13]
MCF7, 10Kperwell, Condition, MK-1775_BAY1895344, 45.7_52.12, nM_nM, [14]
MCF7, 10Kperwell, Condition, MK-1775_BAY1895344, 45.7_16.29, nM_nM, [15]
MCF7, 10Kperwell, Condition, MK-1775_BAY1895344, 45.7_5.09, nM_nM, [16]
MCF7, 10Kperwell, Condition, MK-1775_BAY1895344, 45.7_1.59, nM_nM, [17]
MCF7, 10Kperwell, Condition, MK-1775_BAY1895344, 45.7_0.5, nM_nM, [18]
MCF7, 10Kperwell, Condition, MK-1775_BAY1895344, 45.7_0.16, nM_nM, [19]
MCF7, 10Kperwell, Condition, MK-1775, 137.2, nM, [20]
MCF7, 10Kperwell, Condition, Prexasertib, 2.1, nM, [21]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 137.2_16, nM_nM, [22]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 137.2_10.7, nM_nM, [23]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 137.2_7.1, nM_nM, [24]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 137.2_4.7, nM_nM, [25]
MCF7, 10Kperwell, Condition, MK-1775_Prexasertib, 137.2_3.2, nM_nM, [26]
