Enlapse	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7
seeding	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell
condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition
compound	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	Control_DMSO_combination	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	OnlyCells	Prexasertib	Prexasertib	Prexasertib	Prexasertib	Prexasertib	Prexasertib	Prexasertib	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	WEE1singleeffect
concentration	0.16 nM	0.5 nM	1.59 nM	16.29 nM	166.79 nM	5.09 nM	52.12 nM	0.16_55.69 nM_nM	0.5_55.69 nM_nM	1.59_55.69 nM_nM	16.29_55.69 nM_nM	166.79_55.69 nM_nM	5.09_55.69 nM_nM	52.12_55.69 nM_nM	0.34 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1_0.16 nM_nM	11111.1_0.5 nM_nM	11111.1_1.59 nM_nM	11111.1_16.29 nM_nM	11111.1_166.79 nM_nM	11111.1_5.09 nM_nM	11111.1_52.12 nM_nM	1234.6_0.16 nM_nM	1234.6_0.5 nM_nM	1234.6_1.59 nM_nM	1234.6_16.29 nM_nM	1234.6_166.79 nM_nM	1234.6_5.09 nM_nM	1234.6_52.12 nM_nM	137.2_0.16 nM_nM	137.2_0.5 nM_nM	137.2_1.59 nM_nM	137.2_16.29 nM_nM	137.2_166.79 nM_nM	137.2_5.09 nM_nM	137.2_52.12 nM_nM	33333.3_0.16 nM_nM	33333.3_0.5 nM_nM	33333.3_1.59 nM_nM	33333.3_16.29 nM_nM	33333.3_166.79 nM_nM	33333.3_5.09 nM_nM	33333.3_52.12 nM_nM	3703.7_0.16 nM_nM	3703.7_0.5 nM_nM	3703.7_1.59 nM_nM	3703.7_16.29 nM_nM	3703.7_166.79 nM_nM	3703.7_5.09 nM_nM	3703.7_52.12 nM_nM	411.5_0.16 nM_nM	411.5_0.5 nM_nM	411.5_1.59 nM_nM	411.5_16.29 nM_nM	411.5_166.79 nM_nM	411.5_5.09 nM_nM	411.5_52.12 nM_nM	45.7_0.16 nM_nM	45.7_0.5 nM_nM	45.7_1.59 nM_nM	45.7_16.29 nM_nM	45.7_166.79 nM_nM	45.7_5.09 nM_nM	45.7_52.12 nM_nM	11111.1_1.4 nM_nM	11111.1_10.7 nM_nM	11111.1_16 nM_nM	11111.1_2.1 nM_nM	11111.1_3.2 nM_nM	11111.1_4.7 nM_nM	11111.1_7.1 nM_nM	1234.6_1.4 nM_nM	1234.6_10.7 nM_nM	1234.6_16 nM_nM	1234.6_2.1 nM_nM	1234.6_3.2 nM_nM	1234.6_4.7 nM_nM	1234.6_7.1 nM_nM	137.2_1.4 nM_nM	137.2_10.7 nM_nM	137.2_16 nM_nM	137.2_2.1 nM_nM	137.2_3.2 nM_nM	137.2_4.7 nM_nM	137.2_7.1 nM_nM	33333.3_1.4 nM_nM	33333.3_10.7 nM_nM	33333.3_16 nM_nM	33333.3_2.1 nM_nM	33333.3_3.2 nM_nM	33333.3_4.7 nM_nM	33333.3_7.1 nM_nM	3703.7_1.4 nM_nM	3703.7_10.7 nM_nM	3703.7_16 nM_nM	3703.7_2.1 nM_nM	3703.7_3.2 nM_nM	3703.7_4.7 nM_nM	3703.7_7.1 nM_nM	411.5_1.4 nM_nM	411.5_10.7 nM_nM	411.5_16 nM_nM	411.5_2.1 nM_nM	411.5_3.2 nM_nM	411.5_4.7 nM_nM	411.5_7.1 nM_nM	45.7_1.4 nM_nM	45.7_10.7 nM_nM	45.7_16 nM_nM	45.7_2.1 nM_nM	45.7_3.2 nM_nM	45.7_4.7 nM_nM	45.7_7.1 nM_nM	100 %	1.4 nM	10.7 nM	16 nM	2.1 nM	3.2 nM	4.7 nM	7.1 nM	1.4_55.69 nM_nM	10.7_55.69 nM_nM	16_55.69 nM_nM	2.1_55.69 nM_nM	3.2_55.69 nM_nM	4.7_55.69 nM_nM	7.1_55.69 nM_nM	55.69 nM
09/10/2020 12:20_12/10/2020 12:20	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135
0.0	86.70566	95.48417	96.85171	86.07155	91.05797	90.20973	89.6272	80.62568	99.09357	98.38947	92.31746	93.02798	90.06105	98.95746	100.0	86.773125	93.518005	92.68986	91.34973	85.52311	94.38883	86.509056	96.18992	91.63559	91.62087	90.48249	86.85982	93.302605	88.33022	94.64789	95.34581	94.1723	99.882195	89.27595	94.68301	90.375565	100.836876	89.72325	103.01683	94.36185	88.11375	103.64109	89.9621	104.041756	99.46612	90.31228	91.80447	88.11165	92.029144	81.12861	85.501	97.55372	89.886284	85.16935	92.129364	103.67434	79.685036	95.64356	94.66522	92.78784	102.81894	91.78198	91.22995	94.96817	90.15995	91.496864	91.32307	96.44259	91.628044	88.06276	86.63633	97.6351	89.08244	92.02459	87.989784	96.05954	90.10517	90.64692	107.35805	82.67216	91.38849	101.24804	89.336075	92.853806	97.718796	87.1059	95.42339	87.833336	91.02365	91.59008	86.475426	84.98629	98.60343	89.97822	83.31119	88.55301	81.421974	89.72984	97.71434	87.05798	100.40007	85.24731	97.52009	86.80477	90.11801	84.57807	100.43492	97.84697	90.33996	92.7738	86.60575	92.97096	90.32234	92.84213	87.0916	92.83341	89.1724	92.039955	84.03948	94.5258	105.01945	77.57383	103.38917	94.61233	92.55429	84.3692	93.9523	84.116905	91.20072	104.85748	112.89789	95.52577	103.625404	107.649925	85.86685	99.20391
2.0	88.76385	96.913704	98.66929	87.39415	90.50709	91.80695	91.16373	81.22175	99.7811	99.473206	91.29444	87.3945	89.5451	97.11025	100.0	75.08712	90.76729	93.2509	77.76093	80.4057	93.28702	86.24021	86.12841	82.18419	82.08807	79.50935	76.180534	81.510544	74.83559	90.309654	93.11721	91.01037	94.44571	85.8662	91.43002	86.75201	100.584755	89.76943	101.11919	92.24449	87.072205	104.90292	90.33763	86.608574	84.45715	77.69268	77.708466	75.60162	78.38591	68.53027	79.07294	90.19156	84.37984	80.292	84.56866	96.663704	72.907776	96.11241	94.658356	93.344666	99.88266	91.00864	89.92521	93.75208	85.864876	90.51262	88.58322	94.64458	90.53742	89.46809	86.63958	86.7354	76.54203	80.15257	77.27605	82.81373	76.67444	77.98378	101.02122	76.948166	86.53357	93.91056	84.71049	86.874825	91.64784	85.352425	92.80664	87.60715	90.38314	89.94488	85.70091	84.22914	83.77782	75.40287	71.491745	76.53379	69.235435	77.85537	81.4988	82.05296	91.05926	76.36618	89.4315	79.81956	82.444695	76.92413	101.02609	97.0047	89.84855	91.73481	86.8243	90.09906	88.83235	91.90118	86.80247	90.737465	88.6751	90.58226	83.04559	95.247826	104.560684	78.59712	99.45111	94.33022	91.446526	85.88834	94.58955	85.02941	93.76694	104.345276	110.580215	94.975494	99.573784	105.02184	86.66094	98.22222
4.0	87.325775	95.92967	101.51884	88.109085	92.11381	92.963905	92.11045	81.116844	98.73788	99.67252	90.92689	86.39882	89.19739	97.85016	100.0	66.19221	86.242966	92.30986	67.443085	72.421776	90.77332	86.13321	73.8418	70.73424	70.35064	67.17474	65.36358	70.31442	65.62929	85.59969	87.21397	85.92108	87.472626	78.31121	85.35179	78.501816	95.69813	88.473114	100.047455	90.40724	84.10174	103.28176	87.91692	74.509026	75.214264	67.58054	65.18353	63.964195	65.79303	58.240402	70.563446	82.32474	75.34203	71.73722	71.81252	86.52114	63.34009	93.71431	91.58223	89.048454	98.589714	87.56938	88.1544	88.89897	82.87968	90.41201	90.287056	95.013176	89.13192	89.25195	85.149796	73.73525	64.406296	68.211555	67.60152	69.577065	67.412224	66.24015	97.06553	73.64715	80.93441	89.21837	80.88432	80.01145	86.89495	84.10855	92.70875	83.22624	88.46562	88.548515	84.55436	81.87557	71.48684	63.111813	60.110123	63.088737	59.053593	64.28798	67.362625	72.64305	79.55921	67.364235	77.02373	70.04735	72.51445	69.651535	98.722305	92.6995	85.240616	86.313934	82.07124	86.67325	85.60207	92.11741	86.23343	88.84578	86.879234	89.09952	80.70696	92.0773	105.65702	79.03193	97.70813	89.83663	92.05949	86.094215	92.3177	84.0481	92.15767	99.857574	105.68193	91.22934	100.89423	103.01085	83.73123	99.84279
6.0	89.10044	98.822174	100.832535	89.19859	90.32003	92.78206	90.892265	79.06375	97.58452	96.91183	88.82212	87.36724	89.61515	94.606674	100.0	55.33598	81.5292	89.23786	56.82551	61.546875	87.30597	83.99979	61.580173	58.349163	57.985634	54.95262	56.134148	59.673298	53.68968	81.87657	78.84903	80.991104	81.50664	71.818756	77.12482	69.240395	96.5709	87.53366	97.29455	86.75986	80.96432	100.25548	86.784035	63.34542	63.123055	56.384254	54.81553	53.881706	55.80604	49.60409	58.483624	68.3074	64.613365	57.663082	60.983067	71.11684	54.275574	88.94588	87.60258	87.00639	96.01529	85.2588	85.21558	88.6545	82.741615	87.59424	87.63958	93.210434	86.6543	87.13576	81.94054	63.10443	58.17474	60.012	58.95197	60.634075	58.193077	57.005627	95.62989	70.30186	78.950325	83.220894	76.82575	77.09262	84.92597	80.18075	91.12112	82.82327	88.81156	88.11418	86.812706	82.82489	60.324406	53.683144	51.62273	53.714127	49.309055	54.030006	58.433277	62.64415	72.39497	60.147106	68.86856	61.233593	64.81706	62.611816	97.46271	91.60077	85.63998	85.69658	84.70379	87.24099	86.236534	87.92869	84.549	86.99505	83.16194	87.68312	78.08069	91.07975	105.95018	76.90435	94.54309	86.96054	89.04949	85.03198	89.40085	80.74187	87.84407	99.38931	105.75625	89.31284	97.270966	96.60119	83.603134	101.03429
8.0	87.999466	98.45229	103.52396	88.29146	89.37162	94.091774	91.488144	80.21377	101.22558	96.70518	91.540955	88.846214	88.23689	95.997505	100.0	49.818916	81.10444	90.682915	47.81484	55.217777	89.91853	84.26589	53.554756	52.344917	50.81125	47.91811	50.047672	52.53843	48.57541	80.25721	79.75844	81.05538	80.183014	69.52163	76.50715	67.87666	98.21961	90.709595	99.74739	93.63549	82.35575	102.22193	89.765625	61.546562	58.137436	46.64591	46.232845	47.319168	48.058857	41.919334	54.259197	61.707584	57.869167	50.24236	56.629326	61.465054	49.139683	93.04326	90.65534	90.354546	100.46846	87.56642	88.867584	92.097855	85.508995	88.360405	89.511185	92.44048	89.4865	88.551865	83.030495	56.23833	53.092236	55.997234	52.357567	54.319035	52.80962	52.829857	96.20842	67.801125	78.02895	83.11244	79.88609	77.096016	83.141014	84.17796	93.383316	84.66552	91.83046	90.752556	87.681435	84.33759	52.96702	47.72181	46.04801	45.422333	41.475018	47.55512	49.949146	57.58067	66.00041	53.582233	63.43808	56.251812	58.18044	56.53966	99.27231	94.98585	86.2721	89.87387	86.948074	89.97759	87.99252	89.156265	87.82971	87.65684	86.518654	89.26537	81.05228	93.725464	105.89186	76.079735	93.650665	88.00583	87.072235	83.32354	87.03434	79.02652	89.011375	101.8206	107.33032	92.62396	101.88537	102.494385	86.55982	104.145454
