Enlapse	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine1	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine2	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3	CellLine3
seeding	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K	10K
condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff	GeneOff
compound	Control_DMSO_Drug-A	Control_DMSO_Drug-B	Control_DMSO_Drug-C	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	DMSO_Drug-A_GeneOff	DMSO_Drug-B_GeneOff	DMSO_Drug-C_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Control_DMSO_Drug-A	Control_DMSO_Drug-B	Control_DMSO_Drug-C	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	DMSO_Drug-A_GeneOff	DMSO_Drug-B_GeneOff	DMSO_Drug-C_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Control_DMSO_Drug-A	Control_DMSO_Drug-B	Control_DMSO_Drug-C	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-A	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-B	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	Drug-C	DMSO_Drug-A_GeneOff	DMSO_Drug-B_GeneOff	DMSO_Drug-C_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-A_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-B_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff	Drug-C_GeneOff
concentration	0.1 %	0.1 %	0.1 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	1.4 nM	10.67 nM	16 nM	2.11 nM	3.16 nM	4.74 nM	7.11 nM	0.1 %	0.1 %	0.1 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	1.4 nM	10.67 nM	16 nM	2.11 nM	3.16 nM	4.74 nM	7.11 nM	0.1 %	0.1 %	0.1 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	1.4 nM	10.67 nM	16 nM	2.11 nM	3.16 nM	4.74 nM	7.11 nM	0.1 %	0.1 %	0.1 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	1.4 nM	10.67 nM	16 nM	2.11 nM	3.16 nM	4.74 nM	7.11 nM	0.1 %	0.1 %	0.1 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	1.4 nM	10.67 nM	16 nM	2.11 nM	3.16 nM	4.74 nM	7.11 nM	0.1 %	0.1 %	0.1 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	1.4 nM	10.67 nM	16 nM	2.11 nM	3.16 nM	4.74 nM	7.11 nM
23/06/2020 13:30_26/06/2020 13:30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143
0.0	42.9323	45.19429	43.74728	34.75714	40.61855	44.30667	31.42538	37.48409	44.44152	43.20389	41.23177	43.33971	42.07539	42.23915	45.49649	43.84759	41.16489	48.71933	46.86465	45.14402	43.83484	43.9255	44.6405	45.09361	44.86559	41.19429	42.70218	37.80171	43.18726	44.50277	33.75531	38.96698	47.6095	42.39548	44.79854	46.28525	41.8466	43.50562	44.28484	47.45547	42.54081	43.8555	44.59672	45.206	43.42916	45.02743	46.26751	44.52171	45.19733	46.68958	50.32275	38.3577	43.51786	45.0407	36.47202	43.12564	44.21698	44.64467	47.10646	47.79803	45.43116	45.43311	47.64902	47.11475	44.77901	48.64818	51.56972	48.09434	49.34988	50.5373	51.08929	51.18298	46.25029	44.4274	45.56837	39.61935	44.03041	43.75258	33.18692	41.25871	44.25717	43.92723	42.61868	46.65847	42.20031	43.66108	44.63073	42.63642	43.30415	44.83325	52.11815	46.98409	45.8133	49.82033	47.8679	50.80386	47.99507	49.42439	51.52103	42.91396	47.38595	50.8558	36.61985	43.01972	50.5391	47.25318	47.52667	50.21924	47.36653	47.98988	48.96578	49.01792	46.49252	48.44447	54.31531	52.39766	51.65983	52.4808	52.15466	51.79292	47.65332	44.82449	48.23828	39.58587	44.97188	45.19146	34.73548	44.92216	48.24329	44.30246	45.09055	48.76879	45.94495	43.89046	47.35617	45.41063	45.59553	50.09137	46.77226	45.90267	47.83999	47.09673	48.03441	51.31308
3.0	44.20039	46.64185	45.97513	31.90452	39.48013	44.93668	30.43064	33.39958	44.72025	45.22909	40.28942	45.811	43.88305	41.33599	46.39381	45.8036	42.89529	50.21544	48.50913	47.26867	45.78257	46.2089	46.26307	47.31604	46.02755	42.72813	44.38636	34.99902	42.7044	45.51759	32.98233	35.32405	48.5609	43.99584	43.80434	48.40729	43.42389	41.5102	44.41317	48.83086	44.32049	45.55051	45.93479	46.02475	44.9431	46.84669	48.30059	46.6259	46.25937	48.08717	52.2859	35.80517	43.59125	45.77404	35.51028	40.5627	45.18205	45.99593	46.70421	49.2427	46.93553	44.55762	48.44576	49.14745	46.39553	50.3857	53.63938	50.27599	51.90776	53.37556	52.98091	53.2168	47.63158	45.44476	46.69887	38.57199	43.56751	44.32722	32.98383	39.26589	44.54015	44.45272	40.73465	47.81164	42.79603	42.11079	44.58397	44.54976	44.10964	46.46687	52.71056	48.15247	47.03564	49.59361	49.72413	52.39108	49.67168	48.89484	52.57682	41.07468	46.15113	51.33603	36.65966	39.88502	50.0505	47.84004	44.8173	50.67864	48.61842	44.97221	48.48098	49.60772	47.15238	49.41974	54.86129	53.11893	52.05123	52.80698	53.05378	52.39909	48.59102	45.33364	48.88645	38.18317	42.71774	45.34052	34.46275	42.17403	48.19044	44.88335	42.53214	49.43599	46.37869	40.2959	46.30614	46.0107	45.98026	50.60564	47.31162	46.03779	48.13615	48.07719	48.29123	51.32203
6.0	46.44714	48.95335	48.51718	29.59832	40.03358	47.42856	29.18071	31.22345	46.11535	47.45832	39.35986	46.63745	46.23289	40.56537	45.80289	47.11447	45.19409	51.97004	50.88256	50.20536	48.30559	48.36619	48.71025	50.56522	48.36587	44.66442	47.09501	32.46157	42.98257	48.15085	31.21151	32.9388	49.49524	46.3284	42.81319	49.61887	45.04739	41.02034	44.14535	50.31961	46.09166	48.18194	48.2587	48.58309	47.58028	49.44114	50.70934	49.20675	47.48322	49.24165	53.90487	34.18937	44.92233	47.88469	34.22046	39.57732	46.16272	47.64851	45.4664	50.67373	47.67264	44.13641	48.0409	50.25974	48.12789	52.54809	55.62624	52.7492	53.98438	54.03123	55.19007	54.97179	47.89861	46.14776	48.23663	37.25432	44.33804	45.14147	32.08692	38.14624	45.21616	45.24189	39.18923	47.5654	43.2542	40.77106	43.11768	44.53183	44.43988	47.62955	54.51859	49.88741	48.30696	51.21033	50.84274	53.35775	50.16286	49.8597	53.39918	38.29939	43.96335	51.43929	35.38897	36.7716	50.53636	48.3812	42.81758	50.10906	48.1715	42.97824	46.73652	49.1497	47.42968	50.56839	56.1483	53.43623	52.47444	53.94057	53.73257	53.15511	48.64254	45.6857	50.09391	35.93233	41.92226	45.52275	34.02744	38.45199	48.31842	45.30886	40.40668	48.44946	45.77204	39.19134	44.60824	45.93102	46.5004	51.34552	48.21212	47.09641	49.00371	48.7561	49.0527	51.8535
9.0	49.20596	52.0789	51.07305	28.853	39.81394	49.91034	28.26982	30.22232	48.29571	50.52248	38.96317	47.57754	48.7154	40.57108	45.88393	48.53687	47.79262	54.26881	53.85361	52.74807	51.28209	51.35994	51.54707	53.53487	51.00589	47.3092	50.18695	31.51208	42.61812	50.72984	30.1804	31.92398	51.66332	48.75976	42.56015	51.04071	46.82498	40.80934	44.10345	52.23631	49.00988	50.77786	50.50308	51.45783	50.72501	52.37392	53.56511	51.98214	51.06379	52.16113	57.58727	33.84738	46.64479	50.46646	33.16031	39.08411	48.74694	50.85857	45.39066	52.39601	49.87349	44.1356	48.65982	51.90284	50.6524	55.6653	58.17017	55.50721	56.69482	56.95651	57.63332	57.80423	49.09966	48.08475	49.9793	34.39255	44.64859	46.85868	32.26189	38.1487	47.18184	47.38948	39.41778	48.19548	45.36425	40.22009	43.09909	45.42774	46.21563	49.90453	56.18249	51.94891	50.20926	53.35828	52.45693	54.22749	51.22923	51.42903	55.05686	36.90092	42.78675	52.87802	33.76898	34.51843	51.7589	50.07789	42.40199	50.31941	49.68481	42.08096	46.36204	49.92248	49.3643	52.49632	57.6526	54.71172	54.56312	55.87808	55.5496	54.71823	48.79794	46.87186	51.45211	35.21616	41.20878	46.45077	33.03899	36.56381	49.37336	46.22619	39.73249	47.63925	47.12687	37.82031	44.39383	46.29916	48.05485	53.01086	49.5591	47.52914	50.99453	50.42313	50.3406	53.62312
12.0	51.92337	55.29283	53.87063	28.18032	39.18031	53.04258	27.70737	29.20624	50.3783	53.42255	38.80409	48.2606	51.17754	40.63613	46.05749	50.28534	51.18334	56.81509	55.82829	54.57339	54.73949	54.77654	54.74529	56.48209	51.65752	50.02734	52.82201	31.29994	41.60093	53.55942	29.83494	30.95969	53.3279	51.776	42.45525	52.03531	49.82951	40.93812	44.39163	54.25491	52.08682	54.04089	52.85535	52.22787	53.73853	55.30955	57.19843	55.29448	54.36917	56.74847	61.62945	32.48356	48.6171	54.74746	33.03699	38.58332	52.77531	54.48938	45.70694	55.03088	53.98912	43.88868	49.82644	54.37543	55.10175	59.41605	61.69131	59.05733	60.41696	60.48058	61.58868	61.93516	51.59822	51.06879	52.60931	33.37347	45.85607	49.70718	31.07937	37.26842	49.46037	50.62846	39.58701	49.65549	47.92369	40.59454	43.34195	45.99126	49.11802	52.29504	59.31496	54.36975	53.21011	56.89572	55.26677	57.02261	52.03641	52.87244	57.04848	35.75593	41.72432	55.23659	32.9483	33.34922	53.16513	52.52605	41.5647	50.96523	51.14764	41.73284	46.09489	50.52135	51.80083	54.43465	59.56123	54.85857	56.74254	57.78346	57.81794	56.7434	50.50338	48.4497	53.1241	34.14014	39.698	48.47983	31.55657	35.07115	49.89328	47.62728	39.81174	47.82658	49.48437	36.94783	43.68747	46.80177	49.7189	54.76406	50.19334	46.78307	52.85585	50.92074	52.12598	55.47739
