Enlapse	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7
seeding	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell
condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition
compound	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	BAY1895344_WEE1singleeffect	Control_DMSO_combination	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	MK-1775_Prexasertib	OnlyCells	Prexasertib	Prexasertib	Prexasertib	Prexasertib	Prexasertib	Prexasertib	Prexasertib	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	Prexasertib_WEE1singleeffect	WEE1singleeffect
concentration	0.16 nM	0.5 nM	1.59 nM	16.29 nM	166.79 nM	5.09 nM	52.12 nM	0.16_55.69 nM_nM	0.5_55.69 nM_nM	1.59_55.69 nM_nM	16.29_55.69 nM_nM	166.79_55.69 nM_nM	5.09_55.69 nM_nM	52.12_55.69 nM_nM	0.34 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1_0.16 nM_nM	11111.1_0.5 nM_nM	11111.1_1.59 nM_nM	11111.1_16.29 nM_nM	11111.1_166.79 nM_nM	11111.1_5.09 nM_nM	11111.1_52.12 nM_nM	1234.6_0.16 nM_nM	1234.6_0.5 nM_nM	1234.6_1.59 nM_nM	1234.6_16.29 nM_nM	1234.6_166.79 nM_nM	1234.6_5.09 nM_nM	1234.6_52.12 nM_nM	137.2_0.16 nM_nM	137.2_0.5 nM_nM	137.2_1.59 nM_nM	137.2_16.29 nM_nM	137.2_166.79 nM_nM	137.2_5.09 nM_nM	137.2_52.12 nM_nM	33333.3_0.16 nM_nM	33333.3_0.5 nM_nM	33333.3_1.59 nM_nM	33333.3_16.29 nM_nM	33333.3_166.79 nM_nM	33333.3_5.09 nM_nM	33333.3_52.12 nM_nM	3703.7_0.16 nM_nM	3703.7_0.5 nM_nM	3703.7_1.59 nM_nM	3703.7_16.29 nM_nM	3703.7_166.79 nM_nM	3703.7_5.09 nM_nM	3703.7_52.12 nM_nM	411.5_0.16 nM_nM	411.5_0.5 nM_nM	411.5_1.59 nM_nM	411.5_16.29 nM_nM	411.5_166.79 nM_nM	411.5_5.09 nM_nM	411.5_52.12 nM_nM	45.7_0.16 nM_nM	45.7_0.5 nM_nM	45.7_1.59 nM_nM	45.7_16.29 nM_nM	45.7_166.79 nM_nM	45.7_5.09 nM_nM	45.7_52.12 nM_nM	11111.1_1.4 nM_nM	11111.1_10.7 nM_nM	11111.1_16 nM_nM	11111.1_2.1 nM_nM	11111.1_3.2 nM_nM	11111.1_4.7 nM_nM	11111.1_7.1 nM_nM	1234.6_1.4 nM_nM	1234.6_10.7 nM_nM	1234.6_16 nM_nM	1234.6_2.1 nM_nM	1234.6_3.2 nM_nM	1234.6_4.7 nM_nM	1234.6_7.1 nM_nM	137.2_1.4 nM_nM	137.2_10.7 nM_nM	137.2_16 nM_nM	137.2_2.1 nM_nM	137.2_3.2 nM_nM	137.2_4.7 nM_nM	137.2_7.1 nM_nM	33333.3_1.4 nM_nM	33333.3_10.7 nM_nM	33333.3_16 nM_nM	33333.3_2.1 nM_nM	33333.3_3.2 nM_nM	33333.3_4.7 nM_nM	33333.3_7.1 nM_nM	3703.7_1.4 nM_nM	3703.7_10.7 nM_nM	3703.7_16 nM_nM	3703.7_2.1 nM_nM	3703.7_3.2 nM_nM	3703.7_4.7 nM_nM	3703.7_7.1 nM_nM	411.5_1.4 nM_nM	411.5_10.7 nM_nM	411.5_16 nM_nM	411.5_2.1 nM_nM	411.5_3.2 nM_nM	411.5_4.7 nM_nM	411.5_7.1 nM_nM	45.7_1.4 nM_nM	45.7_10.7 nM_nM	45.7_16 nM_nM	45.7_2.1 nM_nM	45.7_3.2 nM_nM	45.7_4.7 nM_nM	45.7_7.1 nM_nM	100 %	1.4 nM	10.7 nM	16 nM	2.1 nM	3.2 nM	4.7 nM	7.1 nM	1.4_55.69 nM_nM	10.7_55.69 nM_nM	16_55.69 nM_nM	2.1_55.69 nM_nM	3.2_55.69 nM_nM	4.7_55.69 nM_nM	7.1_55.69 nM_nM	55.69 nM
09/10/2020 12:20_12/10/2020 12:20	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135
0.0	16.19361	17.83313	18.08854	16.07518	17.00647	16.84805	16.73925	15.05808	18.50724	18.37574	17.2417	17.3744	16.82028	18.48182	18.67653	16.20621	17.46592	17.31125	17.06096	15.97275	17.62856	16.15689	17.96494	17.11435	17.1116	16.89899	16.2224	17.42569	16.49702	17.67694	17.80729	17.58812	18.65453	16.67365	17.6835	16.87902	18.83283	16.75719	19.23997	17.62352	16.45659	19.35656	16.8018	19.43139	18.57682	16.8672	17.14589	16.4562	17.18785	15.15201	15.96862	18.21965	16.78764	15.90668	17.20657	19.36277	14.8824	17.8629	17.68018	17.32955	19.20301	17.14169	17.03859	17.73676	16.83875	17.08844	17.05598	18.01213	17.11294	16.44707	16.18066	18.23485	16.63751	17.187	16.43344	17.94059	16.82852	16.9297	20.05076	15.44029	17.0682	18.90962	16.68488	17.34187	18.25048	16.26836	17.82178	16.40422	17.00006	17.10585	16.15061	15.87249	18.4157	16.80481	15.55964	16.53863	15.2068	16.75842	18.24965	16.25941	18.75125	15.92124	18.21337	16.21212	16.83092	15.79625	18.75776	18.27442	16.87237	17.32693	16.17495	17.36375	16.86908	17.33969	16.26569	17.33806	16.65431	17.18987	15.69566	17.65414	19.61399	14.4881	19.30951	17.6703	17.28593	15.75724	17.54703	15.71012	17.03313	19.58374	21.08541	17.8409	19.35363	20.10527	16.03695	18.52785
2.0	17.32309	18.91361	19.25623	17.05578	17.6633	17.91698	17.79145	15.85118	19.47321	19.41312	17.81696	17.05585	17.47556	18.95197	19.51593	14.65395	17.71408	18.19878	15.17577	15.69192	18.20583	16.83058	16.80876	16.03901	16.02025	15.51699	14.86734	15.90754	14.60486	17.62477	18.17269	17.76152	18.43196	16.75759	17.84342	16.93046	19.63005	17.51934	19.73435	18.00237	16.99295	20.47278	17.63023	16.90247	16.4826	15.16245	15.16553	14.75436	15.29774	13.37432	15.43182	17.60172	16.46751	15.66973	16.50436	18.86482	14.22863	18.75723	18.47346	18.21708	19.49303	17.76118	17.54974	18.29659	16.75733	17.66438	17.28784	18.47077	17.66922	17.46053	16.90852	16.92722	14.93789	15.64252	15.08114	16.16187	14.96373	15.21926	19.71523	15.01715	16.88783	18.32752	16.53204	16.95443	17.88593	16.65732	18.11208	17.09735	17.63911	17.55358	16.72533	16.4381	16.35002	14.71557	13.95228	14.93628	13.51194	15.1942	15.90525	16.0134	17.77106	14.90357	17.45339	15.57753	16.08985	15.01246	19.71618	18.93137	17.53478	17.9029	16.94457	17.58367	17.33646	17.93537	16.94031	17.70826	17.30577	17.67797	16.20712	18.5885	20.40599	15.33896	19.40881	18.40942	17.84664	16.76191	18.46003	16.59428	18.29949	20.36395	21.58076	18.53535	19.43275	20.49599	16.91269	19.16898
4.0	17.94087	19.70852	20.8568	18.1018	18.92456	19.09921	18.92387	16.66526	20.28546	20.47748	18.68071	17.75043	18.32539	20.10308	20.54476	13.59903	17.71841	18.96484	13.85602	14.87888	18.64916	17.69586	15.17062	14.53218	14.45337	13.80089	13.42879	14.44593	13.48338	17.58625	17.9179	17.65228	17.97104	16.08885	17.53532	16.12801	19.66095	18.17659	20.55451	18.57395	17.2785	21.21899	18.06232	15.3077	15.45259	13.88426	13.3918	13.14129	13.51702	11.96535	14.49709	16.91342	15.47884	14.73824	14.75371	17.77556	13.01307	19.25338	18.81535	18.29479	20.25502	17.99092	18.11111	18.26408	17.02743	18.57493	18.54926	19.52023	18.31194	18.3366	17.49382	15.14873	13.23212	14.0139	13.88857	14.29444	13.84968	13.60888	19.94188	15.13063	16.62778	18.3297	16.61749	16.43816	17.85236	17.2799	19.04679	17.09863	18.17505	18.19208	17.37149	16.82114	14.6868	12.96617	12.34948	12.96143	12.13242	13.20781	13.83949	14.92434	16.34525	13.83982	15.82434	14.39106	14.89792	14.30974	20.28226	19.04489	17.51248	17.73299	16.86134	17.80681	17.58674	18.9253	17.71645	18.25315	17.84913	18.30528	16.58105	18.91706	21.70698	16.23692	20.0739	18.45672	18.9134	17.68785	18.96645	17.26748	18.93357	20.5155	21.7121	18.74285	20.72848	21.16333	17.20238	20.51246
6.0	19.23748	21.33648	21.77053	19.25867	19.5008	20.03237	19.62435	17.07048	21.06926	20.92402	19.17739	18.86327	19.34861	20.42632	21.59078	11.94747	17.60279	19.26715	12.26907	13.28845	18.85004	18.13621	13.29564	12.59804	12.51955	11.8647	12.1198	12.88393	11.59202	17.67779	17.02412	17.48661	17.59792	15.50623	16.65185	14.94954	20.85041	18.8992	21.00665	18.73213	17.48083	21.64594	18.73735	13.67677	13.62876	12.1738	11.8351	11.63348	12.04896	10.70991	12.62707	14.7481	13.95053	12.44991	13.16672	15.35468	11.71852	19.20411	18.91408	18.78536	20.73045	18.40804	18.39871	19.1412	17.86456	18.91228	18.92207	20.12486	18.70934	18.81329	17.6916	13.62474	12.56038	12.95706	12.72819	13.09137	12.56434	12.30796	20.64724	15.17872	17.04599	17.96804	16.58728	16.6449	18.33618	17.31165	19.67376	17.88219	19.17511	19.02454	18.74354	17.88254	13.02451	11.59061	11.14575	11.5973	10.64621	11.6655	12.6162	13.52536	15.63064	12.98623	14.86926	13.22081	13.99451	13.51838	21.04296	19.77732	18.49034	18.50256	18.28821	18.83601	18.61914	18.98449	18.25479	18.78291	17.95531	18.93147	16.85823	19.66483	22.87547	16.60425	20.41259	18.77546	19.22648	18.35907	19.30234	17.4328	18.96622	21.45893	22.8336	19.28334	21.00156	20.85695	18.05057	21.81409
8.0	20.17715	22.57385	23.73672	20.2441	20.49177	21.57404	20.97706	18.39199	23.20973	22.17326	20.98917	20.3713	20.23159	22.011	22.92872	11.42284	18.59621	20.79243	10.96333	12.66073	20.61717	19.32109	12.27942	12.00202	11.65037	10.98701	11.47529	12.04639	11.13772	18.40195	18.28759	18.58496	18.38494	15.94042	17.54211	15.56325	22.5205	20.79855	22.8708	21.46942	18.88312	23.43818	20.58211	14.11184	13.33017	10.69531	10.6006	10.84968	11.01928	9.611567	12.44094	14.14876	13.26866	11.51993	12.98438	14.09315	11.2671	21.33363	20.78611	20.71714	23.03613	20.07786	20.3762	21.11686	19.60612	20.25991	20.52377	21.19542	20.51811	20.30381	19.03783	12.89473	12.17337	12.83945	12.00492	12.45466	12.10857	12.11321	22.05936	15.54593	17.89104	19.05662	18.31686	17.67713	19.06317	19.30093	21.4116	19.41272	21.05555	20.8084	20.10423	19.33753	12.14466	10.942	10.55822	10.41476	9.50969	10.90378	11.4527	13.20251	15.13305	12.28572	14.54554	12.89782	13.34003	12.96382	22.76187	21.77904	19.78109	20.60693	19.93608	20.63071	20.17556	20.44239	20.13823	20.09859	19.83762	20.46741	18.58425	21.49005	24.27965	17.44411	21.4729	20.17861	19.96455	19.10502	19.95586	18.11977	20.40917	23.34616	24.60947	21.23749	23.36101	23.50065	19.84706	23.87922
