Compound=>['BAY1895344_MK-1775singleEffect', 'BAY1895344', 'MK-1775singleEffect']	BAY1895344 0.16 nM MK-1775singleEffect 55.69 nM 	BAY1895344 0.5 nM MK-1775singleEffect 55.69 nM 	BAY1895344 1.59 nM MK-1775singleEffect 55.69 nM 	BAY1895344 5.09 nM MK-1775singleEffect 55.69 nM 	BAY1895344 16.29 nM MK-1775singleEffect 55.69 nM 	BAY1895344 52.12 nM MK-1775singleEffect 55.69 nM 	BAY1895344 166.79 nM MK-1775singleEffect 55.69 nM 
0.0	0.05389738	-0.043695487	-0.023088105	-0.0056945756	-0.06931068	-0.10043765	-0.02694887
2.0	0.05964011	-0.04590359	-0.025580583	0.00629659	-0.054540128	-0.07567263	0.015034646
4.0	0.06071706	-0.029589754	0.0017030239	0.036203884	-0.02956327	-0.058844954	0.05570201
6.0	0.10036689	0.012376308	0.030882	0.031668544	0.0037643313	-0.037144005	0.029527426
8.0	0.077857375	-0.015477061	0.032947958	0.05854863	-0.03249502	-0.045093656	0.0052539706
10.0	0.07014012	-0.013175786	0.0	0.025512457	-0.03125018	-0.060191095	0.020160794
12.0	0.06306028	0.0	0.0	0.009630978	-0.034927666	-0.039469004	0.042903244
14.0	0.061330438	0.0	0.0	0.0028015375	-0.057048142	-0.04666382	0.07606423
16.0	0.041101217	0.0	0.0	-0.0023049712	-0.037937343	-0.035309672	0.09812009
18.0	0.048223734	0.0	0.0	0.014139354	-0.038354993	-0.028983593	0.13135904
20.0	0.043907404	0.0	0.0	0.00053834915	-0.044556916	-0.025078893	0.16905683
22.0	0.039744332	-0.006296873	-0.006296873	-0.0050031804	-0.03551443	-0.029339034	0.17791738
24.0	0.036130905	0.0	0.0	-0.019295216	-0.012107432	-0.018830359	0.18439424
26.0	0.05167587	-0.013076246	-0.013076246	-0.011933355	-0.052368425	-0.041414127	0.21122897
28.0	0.045091093	-0.0050712824	-0.0050712824	-0.0050712824	-0.028922755	-0.027568772	0.23485345
30.0	0.057923973	0.0	0.0	0.0	-0.03632599	-0.019417346	0.25381035
32.0	0.055079356	-4.3213367e-05	-4.3213367e-05	-4.3213367e-05	-0.013540937	-0.009285789	0.260284
34.0	0.0350132	0.0	0.0	0.0	-0.0055855513	0.006993234	0.2518844
36.0	0.032424867	0.0	0.0	0.0	-0.001311481	0.029883504	0.27298683
38.0	0.037723117	-0.008059442	-0.008059442	-0.008059442	-0.008059442	0.0011721328	0.26384723
40.0	0.051439926	-0.011028707	-0.011028707	-0.011028707	-0.011028707	0.019078277	0.27646714
42.0	0.048369944	0.0	0.0	0.0	0.0	0.04607755	0.2720847
44.0	0.052872717	0.0	0.0	0.0	0.0	0.015171826	0.28004587
46.0	0.0566566	0.0	0.0	0.0	0.0	0.03333795	0.26332068
48.0	0.05568868	0.0	0.0	0.0	-0.00067824125	0.03421974	0.29546803
50.0	0.051918685	0.0	0.0	0.0	0.0	0.04024273	0.30657423
52.0	0.034809045	-0.001891613	-0.001891613	-0.001891613	-0.001891613	0.0468487	0.29666853
54.0	0.053111732	0.0	0.0	0.0	0.0	0.048793733	0.29953146
56.0	0.05549246	0.0	0.0	0.0	0.0	0.06462741	0.31252056
58.0	0.06126833	0.0	0.0	0.0	0.0	0.061716974	0.31389022
60.0	0.06305605	0.0	0.0	0.0	0.0	0.06220579	0.33327562
62.0	0.05268228	0.0	0.0	0.0	0.0	0.055912435	0.31565714
64.0	0.049672484	0.0	0.0	0.0	0.0	0.07159543	0.34101218
66.0	0.049072504	0.0	0.0	0.0	0.0	0.081251204	0.32618916
68.0	0.041300114	-0.0007452965	-0.0007452965	-0.0007452965	-0.0007452965	0.071323104	0.33266726
70.0	0.054416	0.0	0.0	0.0	0.0	0.09518993	0.33503354
72.0	0.04454435	-0.0012146235	-0.0012146235	-0.0012146235	-0.0012146235	0.09308737	0.33125252
74.0	0.044993103	0.0	0.0	0.0	0.0	0.097688794	0.3365752
76.0	0.03914559	0.0	0.0	0.0	0.0	0.094766974	0.346511
78.0	0.037227094	0.0	0.0	0.0	0.0	0.09703201	0.32616013
80.0	0.03417903	0.0	0.0	0.0	0.0	0.10584158	0.33931315
82.0	0.03588587	0.0	0.0	0.0	0.0	0.102017164	0.34830487
84.0	0.029303849	0.0	0.0	0.0	0.0	0.09483808	0.33910483
86.0	0.023558736	0.0	0.0	0.0	0.0	0.1090523	0.34761363
88.0	0.019566655	-0.0010945797	-0.0010945797	-0.0010945797	-0.0010945797	0.09862463	0.34878367
90.0	0.02081728	-0.0002669096	-0.0002669096	-0.0002669096	-0.0002669096	0.103763714	0.36041352
92.0	0.01543653	-0.00021880865	-0.00021880865	-0.00021880865	-0.00021880865	0.098849334	0.34411055
Compound=>['MK-1775_BAY1895344', 'MK-1775', 'BAY1895344']	MK-1775 45.7 nM BAY1895344 0.16 nM 	MK-1775 45.7 nM BAY1895344 0.5 nM 	MK-1775 45.7 nM BAY1895344 1.59 nM 	MK-1775 45.7 nM BAY1895344 5.09 nM 	MK-1775 45.7 nM BAY1895344 16.29 nM 	MK-1775 45.7 nM BAY1895344 52.12 nM 	MK-1775 45.7 nM BAY1895344 166.79 nM 	MK-1775 137.2 nM BAY1895344 0.16 nM 	MK-1775 137.2 nM BAY1895344 0.5 nM 	MK-1775 137.2 nM BAY1895344 1.59 nM 	MK-1775 137.2 nM BAY1895344 5.09 nM 	MK-1775 137.2 nM BAY1895344 16.29 nM 	MK-1775 137.2 nM BAY1895344 52.12 nM 	MK-1775 137.2 nM BAY1895344 166.79 nM 	MK-1775 411.5 nM BAY1895344 0.16 nM 	MK-1775 411.5 nM BAY1895344 0.5 nM 	MK-1775 411.5 nM BAY1895344 1.59 nM 	MK-1775 411.5 nM BAY1895344 5.09 nM 	MK-1775 411.5 nM BAY1895344 16.29 nM 	MK-1775 411.5 nM BAY1895344 52.12 nM 	MK-1775 411.5 nM BAY1895344 166.79 nM 	MK-1775 1234.6 nM BAY1895344 0.16 nM 	MK-1775 1234.6 nM BAY1895344 0.5 nM 	MK-1775 1234.6 nM BAY1895344 1.59 nM 	MK-1775 1234.6 nM BAY1895344 5.09 nM 	MK-1775 1234.6 nM BAY1895344 16.29 nM 	MK-1775 1234.6 nM BAY1895344 52.12 nM 	MK-1775 1234.6 nM BAY1895344 166.79 nM 	MK-1775 3703.7 nM BAY1895344 0.16 nM 	MK-1775 3703.7 nM BAY1895344 0.5 nM 	MK-1775 3703.7 nM BAY1895344 1.59 nM 	MK-1775 3703.7 nM BAY1895344 5.09 nM 	MK-1775 3703.7 nM BAY1895344 16.29 nM 	MK-1775 3703.7 nM BAY1895344 52.12 nM 	MK-1775 3703.7 nM BAY1895344 166.79 nM 	MK-1775 11111.1 nM BAY1895344 0.16 nM 	MK-1775 11111.1 nM BAY1895344 0.5 nM 	MK-1775 11111.1 nM BAY1895344 1.59 nM 	MK-1775 11111.1 nM BAY1895344 5.09 nM 	MK-1775 11111.1 nM BAY1895344 16.29 nM 	MK-1775 11111.1 nM BAY1895344 52.12 nM 	MK-1775 11111.1 nM BAY1895344 166.79 nM 	MK-1775 33333.3 nM BAY1895344 0.16 nM 	MK-1775 33333.3 nM BAY1895344 0.5 nM 	MK-1775 33333.3 nM BAY1895344 1.59 nM 	MK-1775 33333.3 nM BAY1895344 5.09 nM 	MK-1775 33333.3 nM BAY1895344 16.29 nM 	MK-1775 33333.3 nM BAY1895344 52.12 nM 	MK-1775 33333.3 nM BAY1895344 166.79 nM 
0.0	-0.15151703	-0.08894426	-0.07537611	-0.10023147	-0.21982902	-0.091006756	-0.12854677	-0.19632655	-0.012191638	-0.10228306	-0.16384712	-0.1458224	-0.06886795	-0.03712222	-0.13803098	-0.045388512	-0.013706148	-0.060820103	-0.18758047	-0.10370085	-0.058333993	-0.135625	-0.060509272	-0.035985306	-0.103206694	-0.19389726	-0.065580115	-0.041203305	-0.113476545	-0.15892714	-0.07055685	-0.22849815	-0.11558297	-0.030330539	-0.14253746	-0.20952694	-0.087810606	-0.07579613	-0.1502479	-0.15795484	-0.10557923	-0.07845989	-0.20794626	-0.12241629	-0.0183855	-0.096227854	-0.13178329	0.0074557215	-0.049304172
2.0	-0.09314768	-0.06934057	-0.034905717	-0.10293554	-0.19275701	-0.080197886	-0.12483953	-0.17226937	0.006034367	-0.07989982	-0.14389189	-0.1074868	-0.053266615	-0.026735514	-0.1330726	-0.042504445	-0.012989648	-0.04281217	-0.18355247	-0.08708158	-0.06577289	-0.09741172	-0.051512957	-0.014509127	-0.080993444	-0.15120423	-0.04005155	-0.037154093	-0.077017576	-0.12267415	-0.050440505	-0.22845697	-0.1002211	0.0039307773	-0.11795804	-0.19478214	-0.09414488	-0.080001	-0.1257537	-0.13887635	-0.06383389	-0.08221412	-0.17584988	-0.09096177	-0.009665236	-0.06995958	-0.09749919	0.023594588	-0.052224755
4.0	-0.07663143	-0.07784724	-0.041538537	-0.0917916	-0.19122005	-0.058120787	-0.097913325	-0.15087792	0.0007945001	-0.07690102	-0.14185098	-0.09073861	-0.028898641	0.0092841685	-0.14445755	-0.045036584	0.017249107	-0.037679583	-0.18610166	-0.05287215	-0.039546236	-0.10287322	-0.044813484	0.0032190084	-0.051769346	-0.114847004	0.009370148	0.011304766	-0.07320598	-0.12850794	-0.029202819	-0.19195035	-0.07927054	0.033679157	-0.05102122	-0.16038936	-0.07236251	-0.041584194	-0.087795705	-0.08853382	-0.04659328	-0.04391429	-0.15613806	-0.10516316	-0.0013747215	-0.030953318	-0.05760029	0.038817227	-0.018397927
6.0	-0.07897407	-0.045838207	-0.036397874	-0.091990486	-0.18283826	-0.055912137	-0.10785705	-0.17059585	0.006531045	-0.08056682	-0.17203325	-0.07160956	-0.056737468	-0.0036470294	-0.11155909	-0.013249263	0.0029956698	-0.042113483	-0.1813963	-0.093001306	-0.06404069	-0.09233725	0.017198771	0.0053808093	-0.014803767	-0.087837726	0.048633307	0.018184245	-0.036450922	-0.07485449	-0.030664742	-0.14012432	-0.027641714	0.01665765	-0.053939342	-0.122755766	-0.036649466	-0.026496768	-0.08331457	-0.05593735	-0.033935487	-0.061546862	-0.12713635	-0.06966865	0.004412651	-0.030821979	-0.04128009	0.020458698	-0.025568902
8.0	-0.11355457	-0.053986818	-0.052452564	-0.09264587	-0.18040866	-0.05937174	-0.14176658	-0.18419121	-0.014301725	-0.0906446	-0.14674829	-0.1357018	-0.06801498	-0.013109177	-0.13915396	-0.021284483	-0.004359722	-0.042616427	-0.2060959	-0.09833059	-0.07204744	-0.08885735	0.0009073913	0.00049060583	-0.0019453764	-0.08574724	0.063242435	0.029627323	-0.056678295	-0.07344386	-0.026513815	-0.095096886	-0.014897704	0.013780117	-0.07280296	-0.09714377	-0.03297043	-0.009923279	-0.05662924	-0.039322495	-0.029970527	-0.055236995	-0.1946975	-0.11062628	0.011689544	-0.030690491	-0.040164053	0.018255651	-0.045862675
10.0	-0.11885536	-0.06566349	-0.026162624	-0.110843986	-0.17673507	-0.08454031	-0.12787098	-0.17658451	-0.018366337	-0.063690364	-0.11413334	-0.11229524	-0.08794281	0.021603554	-0.15924159	-0.061699495	-0.04129374	-0.05199357	-0.1625563	-0.103043646	-0.033630416	-0.08759275	0.000885427	0.021763682	0.009610519	-0.035264775	0.09598246	0.09666072	-0.050806165	-0.06372619	-0.01190865	-0.06603843	0.005053818	0.019550681	-0.047674656	-0.09255558	-0.03734505	-0.0050399303	-0.050956666	-0.021674395	-0.025376737	-0.040626526	-0.19513822	-0.09638536	-0.0051385164	-0.032041073	-0.02494216	0.0043121576	-0.03623283
12.0	-0.095733345	-0.064413786	-0.02788663	-0.082081735	-0.17445481	-0.047254637	-0.08845548	-0.14487842	0.003726244	-0.042729437	-0.07938067	-0.09869861	-0.04456058	0.085939996	-0.14511728	-0.03832084	-0.038605034	-0.05186885	-0.10912668	-0.07380842	0.0092308	-0.0847922	0.030080795	0.041728258	0.024601594	0.0032776892	0.14413111	0.120936856	-0.037484825	-0.07882959	-0.006232679	-0.036911666	0.019621491	0.04259807	-0.038091004	-0.07671785	-0.021044612	-0.00680995	-0.044475794	-0.0125434995	-0.010486126	-0.038947344	-0.1678325	-0.09164184	0.0022969246	-0.01887983	-0.013370037	0.030531764	-0.025956988
14.0	-0.08071695	-0.062940955	-0.048881292	-0.082329646	-0.17543264	-0.045158282	-0.08688368	-0.116745815	0.0011712909	-0.025454938	-0.06340234	-0.09040788	-0.035124816	0.12655406	-0.11778642	-0.026603103	-0.021805525	-0.045380518	-0.09147952	-0.04101132	0.068963	-0.05389896	0.027594626	0.044868946	0.03631252	0.018923357	0.13663635	0.145731	-0.03152889	-0.06033081	-0.016779065	-0.033670127	0.015680611	0.04528141	-0.025719881	-0.07843888	-0.021077394	-0.015911698	-0.03491503	-0.02066344	-0.014931202	-0.030113757	-0.15154326	-0.07480401	-0.009913564	-0.02309835	-0.024552405	0.013743043	-0.029904902
16.0	-0.085633546	-0.047944725	-0.031726062	-0.07479812	-0.13504031	-0.027884334	-0.0785436	-0.13954471	0.003060639	-0.03342706	-0.054270186	-0.08009614	-0.025039725	0.1371851	-0.13905442	-0.032876313	-0.024166584	-0.023714237	-0.079571985	-0.003555484	0.086631745	-0.07072109	0.022625387	0.035014868	0.033278167	0.026966855	0.14211029	0.15569256	-0.0394606	-0.053570986	0.0006722212	-0.008539677	0.03466922	0.049527407	-0.0272156	-0.08405042	-0.015369594	-0.0009306669	-0.022474885	-0.010399401	-0.011716843	-0.04043454	-0.1390189	-0.05251527	-0.012260199	-0.016878009	-0.011140227	0.024573565	-0.028920174
18.0	-0.07309088	-0.05441618	-0.04918319	-0.069928154	-0.14287466	-0.030743316	-0.059116364	-0.13087586	0.021205068	-0.030306458	-0.052959032	-0.08679505	0.013895031	0.18826346	-0.12970722	-0.022356689	-0.0279876	-0.040094033	-0.104941145	0.046502084	0.13058126	-0.062032342	0.041092932	0.034585595	0.022278458	0.013059497	0.15086026	0.16130757	-0.052413106	-0.06407815	-0.0058211684	-0.024619281	0.016682863	0.052743554	-0.02544409	-0.085458696	-0.020629406	-0.0068849325	-0.029575527	-0.022264719	-0.009496391	-0.036153853	-0.14498872	-0.045412004	-0.0135961175	-0.021562636	-0.02209562	0.013455331	-0.03173989
20.0	-0.06798561	-0.05919975	-0.011841893	-0.06788786	-0.14241122	-0.022628948	-0.046798915	-0.119026676	0.020778775	-0.023357451	-0.03913325	-0.08491233	0.031809017	0.22645548	-0.108646706	-0.0084501505	-0.0058203936	-0.022389729	-0.10220195	0.093157396	0.1766153	-0.030257046	0.053503454	0.049955845	0.057708263	0.018534496	0.18166447	0.17335537	-0.04967022	-0.061315298	-0.0056966543	-0.030230165	0.01000458	0.046561003	-0.01828438	-0.07482803	-0.013893068	-0.00888741	-0.024164021	-0.018806636	0.0012456179	-0.026919484	-0.1377241	-0.058283687	-0.014407933	-0.019711494	-0.027790725	0.014509141	-0.034270227
