Enlapse	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7
seeding	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell
condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition
compound	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	CellsOnly	Control_DMSO_Combination	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775singleEffect	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect
concentration	0.16 nM	0.5 nM	1.59 nM	16.29 nM	166.79 nM	5.09 nM	52.12 nM	0.16_55.69 nM_nM	0.5_55.69 nM_nM	1.59_55.69 nM_nM	16.29_55.69 nM_nM	166.79_55.69 nM_nM	5.09_55.69 nM_nM	52.12_55.69 nM_nM	100 %	0.34 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1_0.16 nM_nM	11111.1_0.5 nM_nM	11111.1_1.59 nM_nM	11111.1_16.29 nM_nM	11111.1_166.79 nM_nM	11111.1_5.09 nM_nM	11111.1_52.12 nM_nM	1234.6_0.16 nM_nM	1234.6_0.5 nM_nM	1234.6_1.59 nM_nM	1234.6_16.29 nM_nM	1234.6_166.79 nM_nM	1234.6_5.09 nM_nM	1234.6_52.12 nM_nM	137.2_0.16 nM_nM	137.2_0.5 nM_nM	137.2_1.59 nM_nM	137.2_16.29 nM_nM	137.2_166.79 nM_nM	137.2_5.09 nM_nM	137.2_52.12 nM_nM	33333.3_0.16 nM_nM	33333.3_0.5 nM_nM	33333.3_1.59 nM_nM	33333.3_16.29 nM_nM	33333.3_166.79 nM_nM	33333.3_5.09 nM_nM	33333.3_52.12 nM_nM	3703.7_0.16 nM_nM	3703.7_0.5 nM_nM	3703.7_1.59 nM_nM	3703.7_16.29 nM_nM	3703.7_166.79 nM_nM	3703.7_5.09 nM_nM	3703.7_52.12 nM_nM	411.5_0.16 nM_nM	411.5_0.5 nM_nM	411.5_1.59 nM_nM	411.5_16.29 nM_nM	411.5_166.79 nM_nM	411.5_5.09 nM_nM	411.5_52.12 nM_nM	45.7_0.16 nM_nM	45.7_0.5 nM_nM	45.7_1.59 nM_nM	45.7_16.29 nM_nM	45.7_166.79 nM_nM	45.7_5.09 nM_nM	45.7_52.12 nM_nM	11111.1_1.4 nM_nM	11111.1_10.7 nM_nM	11111.1_16 nM_nM	11111.1_2.1 nM_nM	11111.1_3.2 nM_nM	11111.1_4.7 nM_nM	11111.1_7.1 nM_nM	1234.6_1.4 nM_nM	1234.6_10.7 nM_nM	1234.6_16 nM_nM	1234.6_2.1 nM_nM	1234.6_3.2 nM_nM	1234.6_4.7 nM_nM	1234.6_7.1 nM_nM	137.2_1.4 nM_nM	137.2_10.7 nM_nM	137.2_16 nM_nM	137.2_2.1 nM_nM	137.2_3.2 nM_nM	137.2_4.7 nM_nM	137.2_7.1 nM_nM	33333.3_1.4 nM_nM	33333.3_10.7 nM_nM	33333.3_16 nM_nM	33333.3_2.1 nM_nM	33333.3_3.2 nM_nM	33333.3_4.7 nM_nM	33333.3_7.1 nM_nM	3703.7_1.4 nM_nM	3703.7_10.7 nM_nM	3703.7_16 nM_nM	3703.7_2.1 nM_nM	3703.7_3.2 nM_nM	3703.7_4.7 nM_nM	3703.7_7.1 nM_nM	411.5_1.4 nM_nM	411.5_10.7 nM_nM	411.5_16 nM_nM	411.5_2.1 nM_nM	411.5_3.2 nM_nM	411.5_4.7 nM_nM	411.5_7.1 nM_nM	45.7_1.4 nM_nM	45.7_10.7 nM_nM	45.7_16 nM_nM	45.7_2.1 nM_nM	45.7_3.2 nM_nM	45.7_4.7 nM_nM	45.7_7.1 nM_nM	55.69 nM	1.4 nM	10.7 nM	16 nM	2.1 nM	3.2 nM	4.7 nM	7.1 nM	1.4_55.69 nM_nM	10.7_55.69 nM_nM	16_55.69 nM_nM	2.1_55.69 nM_nM	3.2_55.69 nM_nM	4.7_55.69 nM_nM	7.1_55.69 nM_nM
09/10/2020 12:20_13/10/2020 08:20	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135
0.0	0.13294333	0.045158505	0.031482935	0.13928425	0.08942002	0.09790236	0.103728056	0.19374317	0.009064317	0.016104996	0.07682556	0.06972009	0.099389195	0.010425448	-0.05019462	0.0	0.13226897	0.06482005	0.07310158	0.08650291	0.14476901	0.056111693	0.13490963	0.038101077	0.083643794	0.083791554	0.095175385	0.1314016	0.066973984	0.11669779	0.053520977	0.046542108	0.05827695	0.0011786222	0.10724056	0.053169668	0.096244335	-0.008369088	0.10276729	-0.030168414	0.056381524	0.11886263	-0.036410928	0.10037899	-0.040417433	0.005338788	0.09687698	0.08195537	0.11888367	0.079708576	0.18871391	0.14498973	0.02446282	0.10113734	0.14830625	0.078706324	-0.036743045	0.20314991	0.04356438	0.053347766	0.07212192	-0.02818942	0.0821802	0.087700486	0.05031854	0.09840059	0.08503157	0.086769104	0.03557408	0.08371925	0.11937255	0.13363701	0.023648977	0.109175265	0.07975441	0.120102465	0.03940481	0.0989486	0.09353107	-0.073580265	0.17327875	0.0861153	-0.012480617	0.106639266	0.07146168	0.022812366	0.12894082	0.045765758	0.12166691	0.08976376	0.084098876	0.13524544	0.15013736	0.013965964	0.100218	0.16688836	0.114469945	0.18577999	0.10270172	0.022856772	0.12942016	-0.004000783	0.14752716	0.02479881	0.13195229	0.098819494	0.15421897	-0.0043492317	0.021530569	0.096600115	0.07226181	0.13394248	0.07029039	0.096776605	0.07157892	0.12908429	0.07166588	0.10827583	0.07960075	0.15960544	0.0547418	0.007960796	0.2242617	-0.03389144	0.053876758	0.07445711	0.1563083	0.060477257	0.158831	0.08799279	-0.048575044	-0.12897873	0.044742048	-0.036254168	-0.076498985	0.14133108
2.0	0.11236179	0.030863285	0.013306916	0.12605882	0.09492934	0.08193046	0.08836299	0.18778253	0.002189219	0.0052679777	0.0870558	0.12605453	0.10454869	0.028897643	-0.04560685	0.0	0.24912882	0.09232712	0.067490995	0.22239053	0.19594288	0.06712961	0.13759786	0.13871592	0.17815828	0.17911959	0.2049064	0.2381944	0.18489432	0.25164413	0.096903145	0.06882793	0.08989632	0.055543065	0.14133781	0.08569974	0.13248026	-0.0058476925	0.10230565	-0.011191845	0.07755518	0.12927794	-0.04902923	0.09662366	0.13391423	0.15542835	0.22307289	0.22291589	0.24398375	0.21614087	0.31469703	0.2092706	0.09808457	0.1562019	0.19708025	0.15431345	0.033362687	0.27092254	0.038875997	0.05341661	0.06655359	0.0011736751	0.08991349	0.10074794	0.062479258	0.14135122	0.094873846	0.11416805	0.053554237	0.09462559	0.10531932	0.1336044	0.13264602	0.23457968	0.19847453	0.22723949	0.1718629	0.23325533	0.22016197	-0.010211945	0.23051834	0.134664	0.060894072	0.15289533	0.13125175	0.08352125	0.14647603	0.07193357	0.12392825	0.096168876	0.10055113	0.14299089	0.15770888	0.16222185	0.24597108	0.28508282	0.23466188	0.30764538	0.22144604	0.18501222	0.17947036	0.089407265	0.2363382	0.105685055	0.2018047	0.1755529	0.23075843	-0.010260582	0.029952705	0.10151476	0.08265191	0.13175708	0.099009275	0.111676455	0.08098811	0.1319753	0.09262538	0.1132493	0.094177365	0.16954404	0.04752195	0.017778218	0.21402854	0.0054888725	0.056697786	0.08553445	0.14111674	0.054104745	0.14970613	0.062330604	-0.04345274	-0.1058023	0.050244868	0.004261911	-0.0502187	0.13339078
4.0	0.126742	0.040703118	-0.015188456	0.11890912	0.07886195	0.07036078	0.07889509	0.18883163	0.012621164	0.0032747984	0.09073073	0.13601178	0.10802585	0.021497905	-0.05657029	0.0	0.33807784	0.13756996	0.07690102	0.3255691	0.2757823	0.09226644	0.1386677	0.26158184	0.2926576	0.29649365	0.3282526	0.34636402	0.2968555	0.34370697	0.14400285	0.12786007	0.14078897	0.12527376	0.21688765	0.14648187	0.21498162	0.04301852	0.11526853	-0.0004748106	0.0959273	0.15898257	-0.03281796	0.12083036	0.25490975	0.24785739	0.32419437	0.3481648	0.36035812	0.34206927	0.41759562	0.2943651	0.17675227	0.24657947	0.28262782	0.2818743	0.13478845	0.36659867	0.06285685	0.084177434	0.10951555	0.014102578	0.124305844	0.11845571	0.111010015	0.17120326	0.095879376	0.097129166	0.049867928	0.108680725	0.10748011	0.14850181	0.26264727	0.35593653	0.31788433	0.32398462	0.30422944	0.3258773	0.3375981	0.02934444	0.26352805	0.19065565	0.1078158	0.19115657	0.19988531	0.13105023	0.15891427	0.072912455	0.16773766	0.11534357	0.11451477	0.15445614	0.18124372	0.28513116	0.36888176	0.39889866	0.36911267	0.40946412	0.3571201	0.32637352	0.27356905	0.20440763	0.32635772	0.22976226	0.29952657	0.27485526	0.3034845	0.012776673	0.07300466	0.14759362	0.13686025	0.17928755	0.13326699	0.14397913	0.07882589	0.13766551	0.11154181	0.13120747	0.109004736	0.19293046	0.07922673	0.0015717745	0.2096805	0.022918701	0.10163373	0.07940459	0.13905734	0.07682276	0.15951884	0.07842338	0.0014241338	-0.056819677	0.087706566	-0.008942723	-0.030108571	0.16268742
6.0	0.108995676	0.011778295	-0.008325458	0.108014464	0.09679997	0.072179794	0.09107733	0.20936257	0.024154603	0.030882	0.111778796	0.1263274	0.10384834	0.053933322	-0.05950153	0.0	0.44664025	0.18470806	0.10762155	0.4317451	0.38453138	0.12694043	0.16000211	0.3841983	0.41650844	0.42014349	0.4504738	0.4386586	0.4032671	0.4631033	0.18123412	0.21150959	0.19008887	0.18493366	0.28181255	0.2287519	0.30759597	0.03429109	0.12466329	0.027054727	0.13240176	0.19035673	-0.0025548935	0.13215953	0.3665461	0.36876953	0.43615776	0.45184475	0.46118325	0.44193965	0.50395894	0.41516387	0.31692606	0.35386664	0.42336917	0.39016938	0.28883147	0.45724428	0.110541046	0.12397432	0.1299361	0.039847195	0.14741188	0.1478442	0.11345506	0.17258418	0.12405765	0.12360424	0.06789577	0.13345683	0.1286425	0.18059474	0.36895567	0.41825265	0.3998801	0.41048014	0.3936593	0.41806948	0.42994398	0.04370135	0.29698122	0.21049708	0.16779095	0.2317425	0.229074	0.15074062	0.1981926	0.088789105	0.17176735	0.111884594	0.118858516	0.13187331	0.1717512	0.39675617	0.46316856	0.483773	0.46285874	0.5069095	0.45970023	0.4156673	0.37355834	0.27605033	0.39852875	0.31131464	0.3876639	0.3518294	0.3738821	0.025372922	0.08399218	0.14360023	0.14303446	0.15296203	0.12759018	0.13763458	0.120713234	0.15451002	0.13004959	0.16838074	0.123168886	0.21919316	0.08920258	-0.010342956	0.23095655	0.054568946	0.1303947	0.109505236	0.1496802	0.10599166	0.19258118	0.12155932	0.0061068535	-0.05756235	0.1068719	0.027290642	0.033988297	0.16396868
8.0	0.12000513	0.015477061	-0.035239816	0.1170854	0.106283665	0.05908239	0.08511877	0.1978625	-0.012255907	0.032947958	0.084590375	0.111537635	0.11763102	0.040025115	-0.058918715	0.0	0.5018109	0.18895555	0.09317064	0.52185154	0.4478221	0.1008144	0.15734082	0.4644524	0.476551	0.49188763	0.52081907	0.49952328	0.47461587	0.5142456	0.19742769	0.20241553	0.18944615	0.19816977	0.30478364	0.23492861	0.3212331	0.01780361	0.09290397	0.0025260448	0.0636453	0.17644262	-0.022219539	0.10234386	0.3845343	0.4186256	0.5335411	0.5376717	0.52680826	0.5194112	0.5808066	0.45740795	0.38292432	0.42130828	0.49757636	0.43370664	0.3853492	0.5086029	0.06956732	0.09344667	0.09645468	-0.004684806	0.124335706	0.11132401	0.079021394	0.14490968	0.11639589	0.10488826	0.07559526	0.10513514	0.11448127	0.1696952	0.4376164	0.4690776	0.44002748	0.47642452	0.45680982	0.47190374	0.4717012	0.037915707	0.32198852	0.21971065	0.16887552	0.20113897	0.22904003	0.16858983	0.15822047	0.06616646	0.15334457	0.08169508	0.09247416	0.123185694	0.15662378	0.47032976	0.5227819	0.53951967	0.5457765	0.5852498	0.524449	0.5005087	0.42419308	0.3399958	0.46417767	0.36561936	0.43748188	0.4181956	0.4346034	0.007276833	0.050141394	0.13727885	0.10126132	0.13051921	0.10022402	0.12007469	0.1084373	0.12170255	0.12343156	0.13481343	0.10734606	0.1894772	0.06274521	-0.041454554	0.23920238	0.06349319	0.11994165	0.12927753	0.16676486	0.12965631	0.20973474	0.10988587	-0.01820612	-0.07330346	0.07376003	-0.018853664	-0.02494371	0.13440192
