Enlapse	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7
seeding	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell
condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition
compound	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	CellsOnly	Control_DMSO_Combination	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775singleEffect	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect
concentration	0.16 nM	0.5 nM	1.59 nM	16.29 nM	166.79 nM	5.09 nM	52.12 nM	0.16_55.69 nM_nM	0.5_55.69 nM_nM	1.59_55.69 nM_nM	16.29_55.69 nM_nM	166.79_55.69 nM_nM	5.09_55.69 nM_nM	52.12_55.69 nM_nM	100 %	0.34 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1_0.16 nM_nM	11111.1_0.5 nM_nM	11111.1_1.59 nM_nM	11111.1_16.29 nM_nM	11111.1_166.79 nM_nM	11111.1_5.09 nM_nM	11111.1_52.12 nM_nM	1234.6_0.16 nM_nM	1234.6_0.5 nM_nM	1234.6_1.59 nM_nM	1234.6_16.29 nM_nM	1234.6_166.79 nM_nM	1234.6_5.09 nM_nM	1234.6_52.12 nM_nM	137.2_0.16 nM_nM	137.2_0.5 nM_nM	137.2_1.59 nM_nM	137.2_16.29 nM_nM	137.2_166.79 nM_nM	137.2_5.09 nM_nM	137.2_52.12 nM_nM	33333.3_0.16 nM_nM	33333.3_0.5 nM_nM	33333.3_1.59 nM_nM	33333.3_16.29 nM_nM	33333.3_166.79 nM_nM	33333.3_5.09 nM_nM	33333.3_52.12 nM_nM	3703.7_0.16 nM_nM	3703.7_0.5 nM_nM	3703.7_1.59 nM_nM	3703.7_16.29 nM_nM	3703.7_166.79 nM_nM	3703.7_5.09 nM_nM	3703.7_52.12 nM_nM	411.5_0.16 nM_nM	411.5_0.5 nM_nM	411.5_1.59 nM_nM	411.5_16.29 nM_nM	411.5_166.79 nM_nM	411.5_5.09 nM_nM	411.5_52.12 nM_nM	45.7_0.16 nM_nM	45.7_0.5 nM_nM	45.7_1.59 nM_nM	45.7_16.29 nM_nM	45.7_166.79 nM_nM	45.7_5.09 nM_nM	45.7_52.12 nM_nM	11111.1_1.4 nM_nM	11111.1_10.7 nM_nM	11111.1_16 nM_nM	11111.1_2.1 nM_nM	11111.1_3.2 nM_nM	11111.1_4.7 nM_nM	11111.1_7.1 nM_nM	1234.6_1.4 nM_nM	1234.6_10.7 nM_nM	1234.6_16 nM_nM	1234.6_2.1 nM_nM	1234.6_3.2 nM_nM	1234.6_4.7 nM_nM	1234.6_7.1 nM_nM	137.2_1.4 nM_nM	137.2_10.7 nM_nM	137.2_16 nM_nM	137.2_2.1 nM_nM	137.2_3.2 nM_nM	137.2_4.7 nM_nM	137.2_7.1 nM_nM	33333.3_1.4 nM_nM	33333.3_10.7 nM_nM	33333.3_16 nM_nM	33333.3_2.1 nM_nM	33333.3_3.2 nM_nM	33333.3_4.7 nM_nM	33333.3_7.1 nM_nM	3703.7_1.4 nM_nM	3703.7_10.7 nM_nM	3703.7_16 nM_nM	3703.7_2.1 nM_nM	3703.7_3.2 nM_nM	3703.7_4.7 nM_nM	3703.7_7.1 nM_nM	411.5_1.4 nM_nM	411.5_10.7 nM_nM	411.5_16 nM_nM	411.5_2.1 nM_nM	411.5_3.2 nM_nM	411.5_4.7 nM_nM	411.5_7.1 nM_nM	45.7_1.4 nM_nM	45.7_10.7 nM_nM	45.7_16 nM_nM	45.7_2.1 nM_nM	45.7_3.2 nM_nM	45.7_4.7 nM_nM	45.7_7.1 nM_nM	55.69 nM	1.4 nM	10.7 nM	16 nM	2.1 nM	3.2 nM	4.7 nM	7.1 nM	1.4_55.69 nM_nM	10.7_55.69 nM_nM	16_55.69 nM_nM	2.1_55.69 nM_nM	3.2_55.69 nM_nM	4.7_55.69 nM_nM	7.1_55.69 nM_nM
09/10/2020 12:20_13/10/2020 08:20	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135
0.0	86.705666	95.484146	96.85171	86.07157	91.058	90.20976	89.6272	80.62569	99.09357	98.3895	92.317444	93.02799	90.06108	98.95746	105.01946	100.0	86.7731	93.518	92.68984	91.34971	85.5231	94.38883	86.50903	96.189896	91.63562	91.62084	90.48246	86.85984	93.302605	88.33022	94.6479	95.34579	94.1723	99.88214	89.27595	94.68304	90.375565	100.83691	89.723274	103.01684	94.36185	88.11374	103.64109	89.9621	104.04174	99.46612	90.3123	91.80447	88.11163	92.029144	81.12861	85.50103	97.55372	89.88627	85.16937	92.129364	103.6743	79.685005	95.64356	94.66522	92.78781	102.81894	91.78198	91.22995	94.96815	90.15994	91.49684	91.32309	96.44259	91.628075	88.062744	86.6363	97.6351	89.08247	92.02456	87.98975	96.05952	90.10514	90.6469	107.358025	82.67213	91.38847	101.24806	89.336075	92.853836	97.718765	87.10592	95.42342	87.83331	91.02362	91.59011	86.47546	84.98627	98.6034	89.9782	83.311165	88.55301	81.422005	89.72983	97.714325	87.05798	100.40008	85.247284	97.52012	86.80477	90.11805	84.5781	100.43492	97.84695	90.33999	92.77382	86.60575	92.97096	90.32234	92.84211	87.09157	92.83341	89.17242	92.039925	84.03946	94.52582	99.20392	77.57383	103.389145	94.61233	92.55429	84.36917	93.95227	84.1169	91.20072	104.857506	112.89787	95.525795	103.62542	107.6499	85.86689
2.0	88.763824	96.91367	98.66931	87.39412	90.507065	91.80695	91.163704	81.22175	99.781075	99.473206	91.29442	87.39455	89.54513	97.11024	104.560684	100.0	75.08712	90.76729	93.2509	77.76095	80.405716	93.28704	86.24021	86.12841	82.18417	82.08804	79.50936	76.18056	81.51057	74.83559	90.309685	93.11721	91.01037	94.445694	85.86622	91.43002	86.751976	100.58477	89.76943	101.11919	92.244484	87.072205	104.90292	90.33763	86.608574	84.45717	77.69271	77.70841	75.60162	78.38591	68.5303	79.07294	90.19154	84.37981	80.29198	84.56866	96.663734	72.907745	96.112404	94.65834	93.34464	99.88263	91.00865	89.92521	93.752075	85.864876	90.51262	88.5832	94.64458	90.53744	89.46807	86.63956	86.7354	76.54203	80.15255	77.276054	82.81371	76.67447	77.9838	101.021194	76.948166	86.5336	93.91059	84.710464	86.874825	91.64787	85.352394	92.80664	87.60718	90.38311	89.944885	85.70091	84.22911	83.77782	75.40289	71.491714	76.53381	69.23546	77.85539	81.49878	82.05296	91.05927	76.36618	89.431496	79.81953	82.44471	76.92416	101.02606	97.00473	89.848526	91.73481	86.824295	90.099075	88.83235	91.90119	86.80247	90.737465	88.67507	90.58226	83.04559	95.2478	98.222176	78.597145	99.45111	94.33022	91.446556	85.88833	94.58952	85.02939	93.76694	104.345276	110.58023	94.97551	99.57381	105.02187	86.66092
4.0	87.3258	95.92969	101.518845	88.109085	92.11381	92.96392	92.11049	81.11684	98.737885	99.67252	90.926926	86.39882	89.19742	97.85021	105.65703	100.0	66.192215	86.243004	92.3099	67.44309	72.42177	90.77335	86.13323	73.84182	70.73424	70.35063	67.174736	65.3636	70.314445	65.6293	85.59972	87.21399	85.921104	87.472626	78.31123	85.351814	78.50184	95.69815	88.473145	100.04748	90.40727	84.101746	103.2818	87.91696	74.509026	75.214264	67.58057	65.18352	63.964188	65.793076	58.240437	70.56349	82.324776	75.34206	71.73722	71.81257	86.52116	63.340134	93.71432	91.58226	89.04845	98.589745	87.56941	88.15443	88.899	82.87968	90.41206	90.28709	95.01321	89.13193	89.25199	85.14982	73.735275	64.40635	68.21157	67.60154	69.57706	67.41227	66.24019	97.06556	73.647194	80.93443	89.21842	80.884346	80.01147	86.89497	84.108574	92.708755	83.226234	88.465645	88.54852	84.55438	81.875626	71.486885	63.111824	60.110134	63.088734	59.05359	64.28799	67.36265	72.6431	79.559235	67.36423	77.02377	70.04734	72.51447	69.65155	98.722336	92.69953	85.24064	86.31397	82.07124	86.6733	85.60209	92.11741	86.23345	88.84582	86.87926	89.099525	80.706955	92.077324	99.84282	79.03195	97.70813	89.836624	92.05954	86.09427	92.317726	84.04812	92.15766	99.85759	105.68197	91.22934	100.89427	103.01086	83.731255
6.0	89.10043	98.822174	100.83254	89.198555	90.32	92.78202	90.892265	79.06374	97.58454	96.9118	88.82212	87.36726	89.615166	94.60667	105.95015	100.0	55.335976	81.5292	89.23785	56.82549	61.546864	87.305954	83.99979	61.58017	58.349155	57.985653	54.95262	56.13414	59.67329	53.68967	81.87659	78.849045	80.99111	81.50664	71.81875	77.12481	69.2404	96.57089	87.53367	97.294525	86.75983	80.964325	100.25549	86.78405	63.34539	63.123047	56.384224	54.815525	53.881676	55.806034	49.60411	58.483612	68.307396	64.613335	57.663082	60.983063	71.11685	54.275574	88.94589	87.60257	87.00639	96.01528	85.25881	85.21558	88.654495	82.741585	87.59424	87.63958	93.21043	86.65432	87.13575	81.94053	63.10443	58.174736	60.01199	58.951984	60.63407	58.19305	57.005604	95.62987	70.30188	78.950294	83.2209	76.82575	77.0926	84.925934	80.18074	91.121086	82.823265	88.81154	88.11415	86.81267	82.82488	60.324383	53.683144	51.6227	53.714127	49.30905	54.029976	58.43327	62.644165	72.394966	60.147125	68.86854	61.23361	64.81706	62.61179	97.46271	91.600784	85.63998	85.696556	84.7038	87.24098	86.23654	87.92868	84.548996	86.99504	83.16193	87.68311	78.08068	91.07974	101.034294	76.90434	94.543106	86.96053	89.04948	85.03198	89.40083	80.74188	87.84407	99.38931	105.75623	89.31281	97.270935	96.60117	83.603134
8.0	87.99949	98.45229	103.52398	88.29146	89.371635	94.09176	91.48812	80.21375	101.22559	96.70521	91.54096	88.84624	88.2369	95.99749	105.89187	100.0	49.81891	81.10445	90.68294	47.81485	55.21779	89.91856	84.265915	53.55476	52.344902	50.811237	47.918095	50.047672	52.538414	48.575436	80.25723	79.758446	81.05538	80.18302	69.52164	76.50714	67.87669	98.21964	90.7096	99.7474	93.63547	82.355736	102.221954	89.76562	61.54657	58.13744	46.64589	46.232834	47.319176	48.05888	41.91934	54.259205	61.70757	57.86917	50.242363	56.629337	61.46508	49.13971	93.04327	90.655334	90.35453	100.46848	87.56643	88.8676	92.09786	85.50903	88.36041	89.51118	92.440475	89.48649	88.55187	83.03048	56.238358	53.09224	55.997253	52.357548	54.31902	52.809628	52.82988	96.20843	67.80115	78.02894	83.11245	79.8861	77.096	83.141014	84.177956	93.383354	84.66554	91.83049	90.75259	87.68143	84.33762	52.967026	47.72181	46.048035	45.422348	41.475018	47.5551	49.949127	57.580692	66.00042	53.582233	63.438065	56.251812	58.18044	56.53966	99.272316	94.98586	86.27212	89.87387	86.94808	89.9776	87.99253	89.15627	87.82974	87.656845	86.518654	89.265396	81.05228	93.72548	104.145454	76.079765	93.65068	88.00584	87.07225	83.32352	87.03437	79.02653	89.01141	101.82061	107.330345	92.62399	101.88537	102.49437	86.55981
