Enlapse	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	MCF7
seeding	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell	10Kperwell
condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition
compound	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	BAY1895344_MK-1775singleEffect	CellsOnly	Control_DMSO_Combination	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_BAY1895344	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775_prexasertib	MK-1775singleEffect	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect	prexasertib_MK-1775singleEffect
concentration	0.16 nM	0.5 nM	1.59 nM	16.29 nM	166.79 nM	5.09 nM	52.12 nM	0.16_55.69 nM_nM	0.5_55.69 nM_nM	1.59_55.69 nM_nM	16.29_55.69 nM_nM	166.79_55.69 nM_nM	5.09_55.69 nM_nM	52.12_55.69 nM_nM	100 %	0.34 %	11111.1 nM	1234.6 nM	137.2 nM	33333.3 nM	3703.7 nM	411.5 nM	45.7 nM	11111.1_0.16 nM_nM	11111.1_0.5 nM_nM	11111.1_1.59 nM_nM	11111.1_16.29 nM_nM	11111.1_166.79 nM_nM	11111.1_5.09 nM_nM	11111.1_52.12 nM_nM	1234.6_0.16 nM_nM	1234.6_0.5 nM_nM	1234.6_1.59 nM_nM	1234.6_16.29 nM_nM	1234.6_166.79 nM_nM	1234.6_5.09 nM_nM	1234.6_52.12 nM_nM	137.2_0.16 nM_nM	137.2_0.5 nM_nM	137.2_1.59 nM_nM	137.2_16.29 nM_nM	137.2_166.79 nM_nM	137.2_5.09 nM_nM	137.2_52.12 nM_nM	33333.3_0.16 nM_nM	33333.3_0.5 nM_nM	33333.3_1.59 nM_nM	33333.3_16.29 nM_nM	33333.3_166.79 nM_nM	33333.3_5.09 nM_nM	33333.3_52.12 nM_nM	3703.7_0.16 nM_nM	3703.7_0.5 nM_nM	3703.7_1.59 nM_nM	3703.7_16.29 nM_nM	3703.7_166.79 nM_nM	3703.7_5.09 nM_nM	3703.7_52.12 nM_nM	411.5_0.16 nM_nM	411.5_0.5 nM_nM	411.5_1.59 nM_nM	411.5_16.29 nM_nM	411.5_166.79 nM_nM	411.5_5.09 nM_nM	411.5_52.12 nM_nM	45.7_0.16 nM_nM	45.7_0.5 nM_nM	45.7_1.59 nM_nM	45.7_16.29 nM_nM	45.7_166.79 nM_nM	45.7_5.09 nM_nM	45.7_52.12 nM_nM	11111.1_1.4 nM_nM	11111.1_10.7 nM_nM	11111.1_16 nM_nM	11111.1_2.1 nM_nM	11111.1_3.2 nM_nM	11111.1_4.7 nM_nM	11111.1_7.1 nM_nM	1234.6_1.4 nM_nM	1234.6_10.7 nM_nM	1234.6_16 nM_nM	1234.6_2.1 nM_nM	1234.6_3.2 nM_nM	1234.6_4.7 nM_nM	1234.6_7.1 nM_nM	137.2_1.4 nM_nM	137.2_10.7 nM_nM	137.2_16 nM_nM	137.2_2.1 nM_nM	137.2_3.2 nM_nM	137.2_4.7 nM_nM	137.2_7.1 nM_nM	33333.3_1.4 nM_nM	33333.3_10.7 nM_nM	33333.3_16 nM_nM	33333.3_2.1 nM_nM	33333.3_3.2 nM_nM	33333.3_4.7 nM_nM	33333.3_7.1 nM_nM	3703.7_1.4 nM_nM	3703.7_10.7 nM_nM	3703.7_16 nM_nM	3703.7_2.1 nM_nM	3703.7_3.2 nM_nM	3703.7_4.7 nM_nM	3703.7_7.1 nM_nM	411.5_1.4 nM_nM	411.5_10.7 nM_nM	411.5_16 nM_nM	411.5_2.1 nM_nM	411.5_3.2 nM_nM	411.5_4.7 nM_nM	411.5_7.1 nM_nM	45.7_1.4 nM_nM	45.7_10.7 nM_nM	45.7_16 nM_nM	45.7_2.1 nM_nM	45.7_3.2 nM_nM	45.7_4.7 nM_nM	45.7_7.1 nM_nM	55.69 nM	1.4 nM	10.7 nM	16 nM	2.1 nM	3.2 nM	4.7 nM	7.1 nM	1.4_55.69 nM_nM	10.7_55.69 nM_nM	16_55.69 nM_nM	2.1_55.69 nM_nM	3.2_55.69 nM_nM	4.7_55.69 nM_nM	7.1_55.69 nM_nM
09/10/2020 12:20_13/10/2020 08:20	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135
0.0	16.193611	17.833126	18.08854	16.075184	17.006475	16.848055	16.73925	15.058081	18.50724	18.375746	17.241695	17.374401	16.820286	18.48182	19.613993	18.67653	16.206205	17.465918	17.311247	17.060957	15.972748	17.62856	16.156887	17.964935	17.114355	17.111595	16.898985	16.222404	17.42569	16.49702	17.676945	17.807285	17.58812	18.654518	16.673649	17.683506	16.87902	18.832836	16.757195	19.239971	17.62352	16.456589	19.35656	16.8018	19.431389	18.57682	16.867205	17.14589	16.456196	17.18785	15.15201	15.968626	18.21965	16.787636	15.906685	17.20657	19.362764	14.882395	17.8629	17.68018	17.329544	19.20301	17.14169	17.03859	17.736755	16.838749	17.088436	17.055984	18.01213	17.112946	16.447065	16.180655	18.23485	16.637516	17.186995	16.433434	17.940586	16.828514	16.929695	20.050755	15.440285	17.068195	18.909626	16.68488	17.341875	18.250475	16.268364	17.821785	16.404215	17.000055	17.105856	16.150616	15.872485	18.415695	16.804806	15.559635	16.53863	15.206805	16.758419	18.249645	16.25941	18.751251	15.921235	18.213375	16.21212	16.830925	15.796255	18.75776	18.274414	16.872375	17.326931	16.17495	17.36375	16.86908	17.339685	16.265684	17.33806	16.654314	17.189865	15.695655	17.654144	18.527851	14.4881	19.309505	17.6703	17.28593	15.757235	17.547026	15.710119	17.03313	19.583744	21.085405	17.840904	19.353634	20.105267	16.036957
2.0	17.323086	18.913605	19.256233	17.055775	17.663296	17.91698	17.791445	15.85118	19.473206	19.41312	17.816956	17.055859	17.475565	18.951965	20.40599	19.51593	14.65395	17.71408	18.19878	15.175772	15.691922	18.205833	16.83058	16.80876	16.039005	16.020245	15.516991	14.867345	15.907545	14.60486	17.624775	18.17269	17.76152	18.431955	16.757591	17.84342	16.930454	19.630054	17.51934	19.734348	18.002369	16.99295	20.47278	17.63023	16.90247	16.482601	15.162456	15.16552	14.75436	15.29774	13.374325	15.43182	17.601719	16.467505	15.669725	16.50436	18.864826	14.228624	18.757229	18.473455	18.217075	19.493025	17.761185	17.54974	18.296589	16.75733	17.66438	17.287834	18.47077	17.669224	17.460526	16.908516	16.92722	14.93789	15.642515	15.0811405	16.161865	14.963736	15.219265	19.715225	15.01715	16.887836	18.327526	16.532036	16.95443	17.885935	16.657314	18.11208	17.097355	17.639105	17.553581	16.72533	16.438095	16.35002	14.715575	13.952274	14.936285	13.511945	15.194204	15.905245	16.0134	17.771065	14.90357	17.453388	15.577524	16.089851	15.012465	19.716175	18.931376	17.534775	17.9029	16.944569	17.583672	17.33646	17.935371	16.94031	17.70826	17.305765	17.67797	16.20712	18.588495	19.168972	15.338964	19.40881	18.40942	17.846645	16.761906	18.460026	16.594276	18.29949	20.36395	21.580761	18.535355	19.432755	20.495995	16.912685
4.0	17.94087	19.708519	20.856796	18.101795	18.924555	19.099209	18.923874	16.665255	20.285456	20.477474	18.680714	17.750425	18.32539	20.103085	21.706978	20.544754	13.599028	17.718412	18.964842	13.856017	14.878875	18.649162	17.69586	15.17062	14.532175	14.453365	13.800884	13.42879	14.4459305	13.483379	17.58625	17.9179	17.652279	17.971035	16.08885	17.53532	16.12801	19.66095	18.17659	20.55451	18.573952	17.278496	21.21899	18.062325	15.307695	15.452585	13.88426	13.391794	13.141285	13.517025	11.965355	14.497095	16.913422	15.47884	14.738235	14.7537155	17.775558	13.013075	19.253376	18.81535	18.294785	20.25502	17.990921	18.11111	18.26408	17.027426	18.574936	18.54926	19.52023	18.311935	18.336601	17.49382	15.14873	13.232125	14.013899	13.88857	14.2944355	13.849685	13.608885	19.94188	15.130635	16.62778	18.329704	16.617489	16.43816	17.85236	17.2799	19.046785	17.098625	18.175049	18.192076	17.37149	16.821146	14.686805	12.966169	12.34948	12.961425	12.132415	13.207809	13.83949	14.924345	16.34525	13.839815	15.824345	14.391054	14.897921	14.30974	20.28226	19.044891	17.51248	17.732994	16.861336	17.806816	17.586739	18.925295	17.71645	18.253155	17.849129	18.305279	16.581045	18.91706	20.512463	16.23692	20.073895	18.456715	18.913406	17.687855	18.96645	17.267479	18.933565	20.515495	21.712101	18.742844	20.728481	21.163326	17.202381
6.0	19.23748	21.33648	21.770535	19.258665	19.500795	20.032364	19.624352	17.07048	21.069265	20.924015	19.177391	18.863276	19.348616	20.42632	22.875467	21.590782	11.94747	17.60279	19.267149	12.269068	13.288449	18.850039	18.136211	13.29564	12.59804	12.519555	11.8647	12.1198	12.88393	11.59202	17.677795	17.024124	17.486614	17.59792	15.506229	16.65185	14.949545	20.85041	18.899204	21.006649	18.732124	17.480831	21.645945	18.737354	13.676765	13.628759	12.173795	11.8351	11.633475	12.04896	10.709915	12.627069	14.7481	13.950525	12.44991	13.166719	15.354685	11.71852	19.204115	18.91408	18.78536	20.73045	18.408045	18.39871	19.1412	17.864555	18.912281	18.92207	20.124859	18.709345	18.81329	17.6916	13.624741	12.56038	12.957058	12.728195	13.09137	12.564335	12.307955	20.647236	15.178725	17.045986	17.968044	16.58728	16.644896	18.336174	17.31165	19.673756	17.88219	19.175106	19.024534	18.743534	17.88254	13.024506	11.5906105	11.145745	11.5973	10.64621	11.665495	12.6161995	13.525365	15.63064	12.986235	14.869255	13.220815	13.994511	13.518375	21.042961	19.777325	18.490341	18.502556	18.288212	18.83601	18.619144	18.98449	18.25479	18.78291	17.95531	18.931469	16.85823	19.66483	21.814095	16.60425	20.412596	18.77546	19.226479	18.35907	19.30234	17.432804	18.96622	21.458931	22.8336	19.283335	21.001556	20.856949	18.05057
8.0	20.177155	22.573849	23.736721	20.2441	20.49177	21.574036	20.977055	18.391985	23.20973	22.173264	20.98917	20.371304	20.23159	22.010994	24.279648	22.928719	11.422837	18.59621	20.792435	10.963332	12.660732	20.617174	19.321095	12.279421	12.002015	11.650365	10.987005	11.47529	12.046385	11.137725	18.401955	18.28759	18.58496	18.38494	15.94042	17.542107	15.563255	22.520504	20.79855	22.8708	21.469414	18.883116	23.438185	20.582106	14.111839	13.33017	10.695305	10.600596	10.84968	11.019285	9.6115675	12.44094	14.148755	13.26866	11.51993	12.984381	14.093155	11.267105	21.33363	20.786106	20.717136	23.036135	20.07786	20.376202	21.11686	19.606125	20.25991	20.523766	21.195415	20.518105	20.30381	19.037825	12.894735	12.17337	12.839452	12.004915	12.454655	12.10857	12.1132145	22.05936	15.545935	17.891035	19.05662	18.31686	17.677124	19.06317	19.300926	21.411606	19.412724	21.055555	20.808405	20.104229	19.337536	12.14466	10.941999	10.558225	10.4147625	9.50969	10.903775	11.452695	13.202515	15.13305	12.28572	14.545535	12.8978195	13.34003	12.9638195	22.76187	21.779041	19.78109	20.606926	19.93608	20.63071	20.17556	20.44239	20.138235	20.09859	19.83762	20.467411	18.58425	21.490051	23.879217	17.444115	21.4729	20.17861	19.96455	19.105015	19.955866	18.11977	20.409176	23.34616	24.609474	21.237495	23.36101	23.500645	19.847055
