Compound=>['BAY1895344_MK-1775singleEffect', 'BAY1895344', 'MK-1775singleEffect']	BAY1895344 0.16 nM MK-1775singleEffect 55.69 nM 	BAY1895344 0.5 nM MK-1775singleEffect 55.69 nM 	BAY1895344 1.59 nM MK-1775singleEffect 55.69 nM 	BAY1895344 5.09 nM MK-1775singleEffect 55.69 nM 	BAY1895344 16.29 nM MK-1775singleEffect 55.69 nM 	BAY1895344 52.12 nM MK-1775singleEffect 55.69 nM 	BAY1895344 166.79 nM MK-1775singleEffect 55.69 nM 
0.0	0.13984579	0.052759804	0.0391931	0.10508377	0.14613624	0.1108631	0.09666896
2.0	0.12814242	0.04809281	0.03084856	0.0982521	0.14159593	0.10457027	0.11101988
4.0	0.12811457	0.042210918	0.0015717745	0.071821965	0.120294	0.08034286	0.08030977
6.0	0.108995676	0.011778295	0.0	0.072179794	0.108014464	0.09107733	0.09679997
8.0	0.12000513	0.015477061	0.0	0.05908239	0.1170854	0.08511877	0.106283665
10.0	0.12057352	0.013175786	0.0	0.053874254	0.09772563	0.079964995	0.077077925
12.0	0.106708586	0.0	0.0	0.038287222	0.069100976	0.044081986	0.06670678
14.0	0.093675375	0.0	0.0	0.038938582	0.0666495	0.04666382	0.05639845
16.0	0.109787524	0.0	0.0	0.021563947	0.04828304	0.035309672	0.07883543
18.0	0.10371256	0.0	0.0	0.02336055	0.058254063	0.028983593	0.0810622
20.0	0.09795725	0.0	0.0	0.016153097	0.063027024	0.025078893	0.084156215
22.0	0.09341906	0.006296873	0.006296873	0.02472898	0.05588396	0.029339034	0.09105848
24.0	0.1008265	0.0	0.0	0.019295216	0.03534013	0.02426374	0.10418534
26.0	0.10195659	0.013076246	0.013076246	0.02882382	0.054097734	0.041414127	0.11123716
28.0	0.09051752	0.0050712824	0.0050712824	0.0050712824	0.028922755	0.04190345	0.10752248
30.0	0.06965977	0.0	0.0	0.0	0.03632599	0.02203834	0.11158341
32.0	0.06666224	4.3213367e-05	4.3213367e-05	4.3213367e-05	0.013540937	0.033607822	0.12808682
34.0	0.0866521	0.0	0.0	0.0	0.0055855513	0.041943252	0.14924514
36.0	0.08640432	0.0	0.0	0.0	0.001311481	0.030414104	0.1673035
38.0	0.08945156	0.008059442	0.008059442	0.008059442	0.008059442	0.06236177	0.18243931
40.0	0.069906905	0.011028707	0.011028707	0.011028707	0.011028707	0.0660883	0.21137778
42.0	0.06663442	0.0	0.0	0.0	0.0	0.04631251	0.20652252
44.0	0.065451264	0.0	0.0	0.0	0.0	0.07124132	0.21362126
46.0	0.058176637	0.0	0.0	0.0	0.0	0.07115877	0.24085438
48.0	0.054190338	0.0	0.0	0.0	0.00067824125	0.063832104	0.22523552
50.0	0.057970762	0.0	0.0	0.0	0.0	0.07019228	0.23611605
52.0	0.06371815	0.001891613	0.001891613	0.001891613	0.001891613	0.08670379	0.24953341
54.0	0.03925103	0.0	0.0	0.0	0.0	0.07436335	0.25465643
56.0	0.036265314	0.0	0.0	0.0	0.0	0.07170528	0.25130808
58.0	0.03449464	0.0	0.0	0.0	0.0	0.07834792	0.26404035
60.0	0.016033232	0.0	0.0	0.0	0.0	0.07242811	0.26876628
62.0	0.02490127	0.0	0.0	0.0	0.0	0.0894655	0.28441554
64.0	0.020328581	0.0	0.0	0.0	0.0	0.08472264	0.27733684
66.0	0.018131554	0.0	0.0	0.0	0.0	0.07910025	0.2924056
68.0	0.014085714	0.0007452965	0.0007452965	0.0007452965	0.0007452965	0.094658904	0.2862223
70.0	0.0030066967	0.0	0.0	0.0	0.0	0.083921075	0.28934717
72.0	0.00783961	0.0012146235	0.0012146235	0.0012146235	0.0012146235	0.08624489	0.29711503
74.0	0.0044364333	0.0	0.0	0.0	0.0	0.08633518	0.30238557
76.0	0.0026953816	0.0	0.0	0.0	0.0	0.08521122	0.2991103
78.0	0.0	0.0	0.0	0.0	0.0	0.080964744	0.31473976
80.0	0.0	0.0	0.0	0.0	0.0	0.08682054	0.31171823
82.0	0.0	0.0	0.0	0.0	0.0	0.08440447	0.30739862
84.0	0.0	0.0	0.0	0.0	0.0	0.095368326	0.32454985
86.0	0.0	0.0	0.0	0.0	0.0	0.08484638	0.31343663
88.0	0.0010945797	0.0010945797	0.0010945797	0.0010945797	0.0010945797	0.09491266	0.31902224
90.0	0.0002669096	0.0002669096	0.0002669096	0.0002669096	0.0002669096	0.08850084	0.3178539
92.0	0.00021880865	0.00021880865	0.00021880865	0.00021880865	0.00021880865	0.0878103	0.32763606
Compound=>['MK-1775_BAY1895344', 'MK-1775', 'BAY1895344']	MK-1775 45.7 nM BAY1895344 0.16 nM 	MK-1775 45.7 nM BAY1895344 0.5 nM 	MK-1775 45.7 nM BAY1895344 1.59 nM 	MK-1775 45.7 nM BAY1895344 5.09 nM 	MK-1775 45.7 nM BAY1895344 16.29 nM 	MK-1775 45.7 nM BAY1895344 52.12 nM 	MK-1775 45.7 nM BAY1895344 166.79 nM 	MK-1775 137.2 nM BAY1895344 0.16 nM 	MK-1775 137.2 nM BAY1895344 0.5 nM 	MK-1775 137.2 nM BAY1895344 1.59 nM 	MK-1775 137.2 nM BAY1895344 5.09 nM 	MK-1775 137.2 nM BAY1895344 16.29 nM 	MK-1775 137.2 nM BAY1895344 52.12 nM 	MK-1775 137.2 nM BAY1895344 166.79 nM 	MK-1775 411.5 nM BAY1895344 0.16 nM 	MK-1775 411.5 nM BAY1895344 0.5 nM 	MK-1775 411.5 nM BAY1895344 1.59 nM 	MK-1775 411.5 nM BAY1895344 5.09 nM 	MK-1775 411.5 nM BAY1895344 16.29 nM 	MK-1775 411.5 nM BAY1895344 52.12 nM 	MK-1775 411.5 nM BAY1895344 166.79 nM 	MK-1775 1234.6 nM BAY1895344 0.16 nM 	MK-1775 1234.6 nM BAY1895344 0.5 nM 	MK-1775 1234.6 nM BAY1895344 1.59 nM 	MK-1775 1234.6 nM BAY1895344 5.09 nM 	MK-1775 1234.6 nM BAY1895344 16.29 nM 	MK-1775 1234.6 nM BAY1895344 52.12 nM 	MK-1775 1234.6 nM BAY1895344 166.79 nM 	MK-1775 3703.7 nM BAY1895344 0.16 nM 	MK-1775 3703.7 nM BAY1895344 0.5 nM 	MK-1775 3703.7 nM BAY1895344 1.59 nM 	MK-1775 3703.7 nM BAY1895344 5.09 nM 	MK-1775 3703.7 nM BAY1895344 16.29 nM 	MK-1775 3703.7 nM BAY1895344 52.12 nM 	MK-1775 3703.7 nM BAY1895344 166.79 nM 	MK-1775 11111.1 nM BAY1895344 0.16 nM 	MK-1775 11111.1 nM BAY1895344 0.5 nM 	MK-1775 11111.1 nM BAY1895344 1.59 nM 	MK-1775 11111.1 nM BAY1895344 5.09 nM 	MK-1775 11111.1 nM BAY1895344 16.29 nM 	MK-1775 11111.1 nM BAY1895344 52.12 nM 	MK-1775 11111.1 nM BAY1895344 166.79 nM 	MK-1775 33333.3 nM BAY1895344 0.16 nM 	MK-1775 33333.3 nM BAY1895344 0.5 nM 	MK-1775 33333.3 nM BAY1895344 1.59 nM 	MK-1775 33333.3 nM BAY1895344 5.09 nM 	MK-1775 33333.3 nM BAY1895344 16.29 nM 	MK-1775 33333.3 nM BAY1895344 52.12 nM 	MK-1775 33333.3 nM BAY1895344 166.79 nM 
0.0	0.24991763	0.17397583	0.16214521	0.21960402	0.2554031	0.22464377	0.21226603	0.19632655	0.11495893	0.10228306	0.16384712	0.20220393	0.16924694	0.15598485	0.18159536	0.09873628	0.085828066	0.14852059	0.18758047	0.15401939	0.1405142	0.18914598	0.10705138	0.09426226	0.15637636	0.19507588	0.16182445	0.14844386	0.25846627	0.18338996	0.17169419	0.22849815	0.26388922	0.23348045	0.22124378	0.24762802	0.1714544	0.15958768	0.21722189	0.25313023	0.22227702	0.20986149	0.20794626	0.12775508	0.11526248	0.17593643	0.21373866	0.18125819	0.16818784
2.0	0.2344989	0.16421442	0.14907376	0.20825486	0.24631125	0.2138023	0.21946512	0.17226937	0.096271284	0.07989982	0.14389189	0.18504198	0.14989027	0.15601346	0.1719486	0.095921054	0.07954324	0.14356011	0.18472615	0.14956084	0.15568638	0.19431487	0.120340884	0.10440545	0.16669318	0.2067473	0.17253181	0.1784919	0.28628817	0.22075872	0.2066424	0.26181966	0.29730135	0.26699176	0.27227148	0.33349806	0.27230316	0.25912058	0.31064802	0.34378275	0.31547803	0.32040852	0.30976412	0.24639012	0.23273812	0.28610045	0.32041508	0.29110244	0.2962085
4.0	0.24783468	0.17372662	0.1386677	0.19927171	0.24108797	0.2066226	0.20659405	0.19389644	0.11447403	0.07690102	0.14185098	0.18666591	0.149729	0.1496984	0.2073144	0.12921402	0.09226644	0.15613529	0.20020424	0.16388217	0.16385208	0.24687608	0.17267355	0.13756996	0.19825122	0.24012077	0.20561147	0.20558289	0.3675711	0.3052602	0.2757823	0.3267388	0.36189836	0.3329195	0.33289552	0.4219712	0.36502013	0.33807784	0.3846512	0.41678643	0.39030024	0.3902783	0.41104782	0.35302055	0.3255691	0.3730226	0.4057651	0.3787784	0.37875605
6.0	0.25155824	0.16989586	0.16000211	0.22063299	0.25073403	0.23650688	0.24131387	0.20488694	0.11813225	0.10762155	0.17203325	0.20401132	0.188897	0.19400376	0.22210014	0.13722359	0.12694043	0.18995768	0.2212435	0.20645636	0.21145257	0.27357137	0.19431081	0.18470806	0.24355567	0.2727714	0.25896266	0.2636283	0.4516148	0.39178056	0.38453138	0.4289558	0.45101088	0.44058663	0.44410872	0.5069541	0.4531579	0.44664025	0.48658165	0.50641114	0.49703878	0.50020546	0.49368244	0.43843818	0.4317451	0.47276163	0.49312484	0.48350024	0.48675215
8.0	0.25846425	0.17038271	0.15734082	0.20712714	0.25600392	0.22906694	0.24690172	0.20199482	0.1072057	0.09317064	0.14674829	0.19934711	0.17035884	0.1895518	0.20872128	0.114731155	0.1008144	0.15394044	0.2060959	0.17735198	0.19638315	0.28628504	0.20150813	0.18895555	0.23687398	0.283917	0.25799066	0.27515632	0.51408625	0.45636818	0.4478221	0.4804461	0.51247406	0.4948228	0.5065096	0.56159616	0.5095214	0.5018109	0.5312451	0.56014156	0.54421616	0.5547603	0.5792318	0.5292519	0.52185154	0.5501017	0.57783574	0.56255096	0.57267094
10.0	0.24290621	0.15044805	0.13910508	0.18548515	0.22323659	0.20794654	0.20546108	0.17658451	0.076026976	0.063690364	0.11413334	0.15519181	0.13856235	0.13585916	0.18376252	0.084081575	0.071852505	0.12185576	0.1625563	0.14607182	0.14339219	0.26153496	0.17135179	0.16028792	0.20552678	0.24234931	0.2274355	0.22501118	0.54034495	0.48421073	0.47732407	0.50548285	0.5284029	0.51911986	0.51761085	0.59607905	0.54675126	0.5406996	0.56544405	0.585585	0.57742757	0.57610154	0.62104666	0.57476795	0.56909037	0.5923053	0.6112013	0.60354805	0.602304
12.0	0.21976763	0.12656456	0.12656456	0.16000599	0.18691981	0.16506733	0.18482862	0.14487842	0.042729437	0.042729437	0.07938067	0.10887777	0.08492783	0.10658587	0.14511728	0.042996824	0.042996824	0.07963782	0.10912668	0.08518343	0.10683542	0.24589819	0.15581656	0.15581656	0.188138	0.21415046	0.19302984	0.21212931	0.55685604	0.5039201	0.5039201	0.5229136	0.53819966	0.52578825	0.537012	0.6200038	0.5746112	0.5746112	0.59089816	0.604006	0.59336317	0.6029875	0.6420915	0.5993374	0.5993374	0.61467767	0.6270236	0.6169994	0.6260643
14.0	0.19930862	0.11655122	0.11655122	0.15095146	0.17543264	0.15777631	0.16637637	0.116745815	0.025454938	0.025454938	0.06340234	0.09040788	0.070930935	0.08041777	0.11778642	0.026603103	0.026603103	0.0645058	0.09147952	0.07202552	0.08150118	0.23905799	0.16040897	0.16040897	0.19310147	0.21636729	0.1995875	0.2077606	0.56716216	0.5224252	0.5224252	0.5410213	0.5542553	0.54471064	0.5493597	0.63684624	0.5993116	0.5993116	0.6149138	0.6260173	0.61800927	0.6219098	0.6630455	0.62821877	0.62821877	0.6426954	0.6529978	0.6455675	0.6491867
16.0	0.2110391	0.113738656	0.113738656	0.13284995	0.15653005	0.14503226	0.18360746	0.13954471	0.03342706	0.03342706	0.054270186	0.08009614	0.06755643	0.109627254	0.13905442	0.032876313	0.032876313	0.053731315	0.079571985	0.06702513	0.10911992	0.26631767	0.1758346	0.1758346	0.19360685	0.2156278	0.20493561	0.24080803	0.5794796	0.52761793	0.52761793	0.53780437	0.55042595	0.5442976	0.5648584	0.6598834	0.6179377	0.6179377	0.6261765	0.63638484	0.6314282	0.64805776	0.6847482	0.645869	0.645869	0.6535055	0.66296756	0.65837324	0.67378706
18.0	0.21186236	0.12066418	0.12066418	0.14120595	0.17188907	0.14615048	0.19194508	0.13087586	0.030306458	0.030306458	0.052959032	0.08679505	0.05841166	0.10891195	0.14814603	0.04957503	0.04957503	0.07177748	0.104941145	0.077121764	0.12661856	0.28201783	0.1989376	0.1989376	0.21765086	0.24560273	0.22215526	0.26387346	0.58842814	0.54080373	0.54080373	0.55153084	0.56755376	0.5541129	0.5780272	0.67165595	0.6336621	0.6336621	0.64221996	0.6550028	0.6442799	0.6633583	0.6950348	0.6597462	0.6597462	0.66769475	0.6795674	0.669608	0.6873279
20.0	0.198321	0.11126274	0.11126274	0.12561859	0.1672772	0.13355128	0.18605551	0.119026676	0.023357451	0.023357451	0.03913325	0.08491233	0.047850564	0.105547994	0.13567175	0.041810095	0.041810095	0.05728783	0.10220195	0.06584044	0.12244773	0.2772984	0.19881666	0.19881666	0.21175826	0.24931286	0.21890944	0.26624122	0.5869498	0.5420947	0.5420947	0.5494913	0.5709551	0.55357844	0.5806303	0.6727518	0.6372143	0.6372143	0.6430744	0.6600796	0.6463126	0.667745	0.7025776	0.670279	0.670279	0.67560506	0.69106036	0.67854804	0.6980271
22.0	0.18730506	0.109205306	0.109205306	0.12572858	0.15365712	0.1298612	0.18518895	0.10551422	0.019554377	0.019554377	0.03774057	0.068479896	0.04228912	0.10318513	0.13576132	0.05270821	0.05270821	0.070279434	0.09997931	0.074674174	0.13351098	0.28592116	0.21729839	0.21729839	0.23181665	0.2563562	0.23544781	0.28406185	0.580054	0.5396973	0.5396973	0.5482354	0.562667	0.5503709	0.57896054	0.68001443	0.6492639	0.6492639	0.6557697	0.6667661	0.65739685	0.6791813	0.70863485	0.68063474	0.68063474	0.6865586	0.69657147	0.68804026	0.7078762
