Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
0.0	0.012503862	0.0	0.0	-0.05389303	-0.034540236	-0.07091552	-0.05426985
3.0	0.004627824	0.0	0.0	-0.07294661	-0.043539703	-0.07001066	-0.05773002
6.0	0.0025564432	0.0	-0.007143438	-0.063491344	-0.036931276	-0.06164533	-0.04372281
9.0	0.009067953	0.0	-0.018498719	-0.056988597	-0.034582376	-0.054039776	-0.038828254
12.0	-0.0022818446	-0.005120039	-0.034724407	-0.05048254	-0.036649913	-0.06286004	-0.04370731
15.0	-0.0054308176	-0.0054308176	-0.04896947	-0.042653233	-0.034707606	-0.052089334	-0.033127666
18.0	-0.0016714334	-0.0017974377	-0.056581434	-0.038735986	-0.043433845	-0.043192923	-0.028044462
21.0	-0.0009712577	-0.0009712577	-0.047524855	-0.016137391	-0.04817003	-0.043353677	-0.029632032
24.0	-0.0045746565	-0.0057116942	-0.05886974	-0.018681496	-0.040069938	-0.055847645	-0.025066257
27.0	-0.002457559	-0.011646975	-0.06594619	-0.014871776	-0.042383134	-0.048478663	-0.016955614
30.0	-0.0024698377	-0.028638631	-0.06787276	-0.016706347	-0.039090753	-0.04218179	-0.014420271
33.0	-0.0013196468	-0.030468848	-0.07465282	-0.016937792	-0.03258139	-0.035915494	-0.014645994
36.0	-0.0030625463	-0.027618304	-0.077944204	-0.010924935	-0.025324702	-0.026116848	-0.0056287646
39.0	0.0043092966	-0.03542962	-0.07438728	-0.013904452	-0.026197135	-0.02783966	-0.011289895
42.0	0.0001898408	-0.047855925	-0.07522015	-0.013005793	-0.024970531	-0.032204986	-0.012020886
45.0	-0.0032569766	-0.041440316	-0.08085412	-0.011669159	-0.015195608	-0.031956673	-0.012886465
48.0	-0.009029508	-0.039020404	-0.08533332	-0.014118969	-0.021051526	-0.028936386	-0.0104320645
51.0	-0.0035883784	-0.030397061	-0.08396655	-0.010377765	-0.01900202	-0.018968701	-0.00994736
54.0	0.0007187724	-0.02836445	-0.08387673	-0.01261735	-0.020357013	-0.027992487	-0.011687875
57.0	-0.00013893843	-0.029228227	-0.096496776	-0.007878363	-0.017890394	-0.028564394	-0.010600746
60.0	-0.001987636	-0.032770768	-0.0870789	-0.004618883	-0.014649808	-0.02183491	-0.006556034
63.0	-0.0020335913	-0.026224311	-0.08844869	-0.0059427023	-0.015049458	-0.019727528	-0.006798744
