Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
0.0	0.0	0.0	0.0	0.05389303	0.1269024	0.1904198	0.26802474
3.0	0.0	0.0	0.0	0.10679227	0.24436009	0.27818465	0.31153005
6.0	0.0	0.0	0.007143438	0.13808298	0.3277638	0.36275256	0.37174368
9.0	0.0	0.0	0.018498719	0.1908716	0.3857996	0.41362792	0.42547977
12.0	0.005120039	0.005120039	0.034724407	0.249284	0.44039258	0.46004978	0.46911174
15.0	0.0054308176	0.0054308176	0.04896947	0.3062189	0.48855978	0.5059627	0.50173986
18.0	0.0017974377	0.0017974377	0.056581434	0.35326988	0.5315671	0.53712	0.52298707
21.0	0.0009712577	0.0009712577	0.053775474	0.38768658	0.55150145	0.5644859	0.54343385
24.0	0.0045746565	0.0057116942	0.08563086	0.44394282	0.57736623	0.59218013	0.5643373
27.0	0.0076682568	0.025402654	0.11752477	0.49069256	0.6037887	0.61628324	0.58701825
30.0	0.010590017	0.036587805	0.13604909	0.5281312	0.6209998	0.6388175	0.6137022
33.0	0.0066989064	0.03210446	0.15255764	0.5530334	0.6351481	0.6539731	0.6313356
36.0	0.0057312846	0.03244801	0.16337113	0.57354426	0.65338486	0.6697929	0.6477818
39.0	0.0036550164	0.03542962	0.16599551	0.5960678	0.67082685	0.68297327	0.66356236
42.0	0.006767273	0.047855925	0.17186461	0.61308324	0.68528223	0.6959466	0.675818
45.0	0.005582452	0.0520863	0.18149358	0.62994015	0.6966604	0.7094221	0.6873223
48.0	0.009029508	0.05311446	0.19330677	0.64960074	0.7136369	0.71738267	0.70131356
51.0	0.0035883784	0.03793085	0.19140571	0.6607088	0.7251809	0.7227403	0.7067072
54.0	0.0009316802	0.031769246	0.19433528	0.67669773	0.73654246	0.7341989	0.7107253
57.0	0.0024824739	0.029228227	0.19958861	0.686135	0.7454442	0.7423188	0.719836
60.0	0.0052295923	0.034671143	0.193706	0.69559926	0.752299	0.75165135	0.7277546
63.0	0.0056841373	0.029290553	0.18403201	0.70437086	0.7592038	0.7556109	0.7318178
66.0	0.014903101	0.03262502	0.18648772	0.7147062	0.7696589	0.7633027	0.7362879
69.0	0.013999651	0.033341266	0.17946814	0.72327644	0.7735101	0.76615083	0.74042946
72.0	0.014941943	0.03633146	0.1754435	0.73299414	0.78113216	0.7697756	0.74535733
