Enlapse	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName	CellLineName
seeding	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell	12Kperwell
condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition	Condition
compound	CellsOnly	Control	GeneA	GeneAA	GeneAB	GeneAC	GeneAD	GeneAE	GeneAF	GeneAG	GeneAH	GeneAI	GeneAJ	GeneAK	GeneAL	GeneAM	GeneAN	GeneAO	GeneAP	GeneAQ	GeneAR	GeneAS	GeneAT	GeneAU	GeneAV	GeneAX	GeneAY	GeneAZ	GeneB	GeneBA	GeneBB	GeneBC	GeneBD	GeneBE	GeneBF	GeneBG	GeneBH	GeneBI	GeneBJ	GeneBK	GeneBL	GeneBM	GeneBN	GeneBO	GeneBP	GeneBQ	GeneBR	GeneBS	GeneBT	GeneBU	GeneBV	GeneBX	GeneBY	GeneBZ	GeneC	GeneCA	GeneD	GeneE	GeneF	GeneG	GeneH	GeneI	GeneJ	GeneK	GeneL	GeneM	GeneN	GeneO	GeneP	GeneQ	GeneR	GeneS	GeneT	GeneU	GeneV	GeneW	GeneX	GeneY	GeneZ	cellsonly
concentration	100 %	GeneC_GeneF_GeneI_GeneL_GeneO	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	40 ngperwell	100 %
11/01/2021 16:30_14/01/2021 10:30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
0.0	25.692068	26.611444	28.081923	25.807655	25.616863	26.906607	26.12717	26.360886	25.401875	25.643621	25.590988	26.188587	26.632492	24.707918	26.286682	26.482458	26.869062	27.237123	26.86488	28.10763	28.31341	26.54101	28.660494	26.567183	27.264816	26.117035	27.148775	27.240719	28.120522	28.27141	28.396414	27.82376	27.4719	27.273682	26.716267	27.437119	26.638885	28.949738	26.401749	27.213974	27.087156	26.596373	27.22273	28.409985	28.505892	28.194643	27.484882	27.29773	27.525692	27.27847	27.303783	27.51464	27.695498	27.526815	26.250397	28.337746	28.549656	27.371723	26.87794	29.039085	27.57616	26.809433	27.013065	26.99317	26.461145	27.382946	27.461658	26.658312	27.624027	28.062855	26.8194	25.854538	26.482523	25.2365	26.281319	25.67378	25.739494	25.238415	25.962805	27.049795
3.0	26.929255	27.861439	28.61129	26.663107	27.003077	28.178333	27.495941	27.993141	27.289124	27.363405	27.391518	27.887285	27.838116	26.782627	28.069387	28.047783	28.581818	28.959787	28.42304	29.644192	29.161486	28.24617	30.02262	28.127712	29.018011	28.464327	28.405573	28.253977	28.865921	28.977816	29.547976	28.778563	28.716925	28.378672	27.497683	28.540169	27.759144	29.270342	27.569231	27.69193	27.844002	27.76823	28.891844	29.123714	28.950788	28.541882	27.92121	27.83141	28.297535	28.042326	28.361622	28.115858	28.320211	27.852936	27.28408	29.451283	28.796669	28.455828	28.008425	29.696274	28.473297	28.050407	27.887272	28.057173	27.97789	28.247917	28.214874	27.986366	28.621553	29.130556	28.053473	27.117138	27.658924	26.640377	27.24769	26.661518	26.324953	26.248789	27.869595	27.777065
6.0	27.748962	28.456343	29.32188	27.10574	27.630823	28.607166	28.288797	28.337114	27.724497	27.580404	28.192705	28.36054	28.4262	27.383045	28.397026	28.227896	28.976145	29.117523	29.033085	30.154297	29.239435	28.684275	30.346449	28.522312	29.046457	28.601788	28.889591	28.857243	29.7355	29.09716	30.257862	29.266607	29.167149	28.7985	28.480045	29.164955	28.177649	29.744886	27.98915	28.368866	28.540474	28.158457	29.560156	29.831013	29.451038	29.283623	28.393963	28.852482	28.761879	28.716915	28.709476	28.950375	28.631088	28.590818	27.957026	29.763279	29.473572	28.82121	28.636742	30.57678	28.95174	28.56804	28.180027	28.583473	28.495523	28.749023	28.810719	28.62436	29.189465	30.05494	28.77017	27.391891	27.87704	27.060669	27.514503	27.43331	26.941967	26.9591	28.266983	28.41056
9.0	29.08335	29.814997	31.04031	28.579815	28.604105	29.850338	29.441305	29.567558	29.044456	28.91175	29.383446	29.817038	29.565952	28.702183	29.995754	29.633827	30.160343	30.481937	30.239725	31.499123	30.758299	30.250065	31.557049	29.862732	30.50592	29.820211	30.22443	30.11299	30.913813	30.858189	31.436424	30.90719	30.2739	30.380402	29.848331	30.498533	29.951725	31.303259	29.914724	29.827633	30.04958	29.816322	30.883894	30.938637	30.922344	30.707134	29.816498	30.139154	30.002287	29.913296	30.455296	30.669926	30.683258	30.163343	29.535921	31.295055	31.021591	30.562918	29.897482	32.064186	30.550913	29.799332	30.230577	30.334705	29.806572	30.729553	30.355915	30.035698	30.841034	31.607655	30.00992	28.574217	28.964516	28.204025	28.868393	28.451675	28.161251	28.628628	29.84494	30.6128
12.0	31.009449	31.869299	32.908695	30.76716	30.990288	32.21325	31.771626	31.802046	31.266207	30.908773	31.383911	31.7745	31.55682	30.762888	31.804422	31.617035	32.11431	32.4842	32.146137	33.20057	32.866238	31.8069	33.95285	31.964779	32.745846	32.102722	32.523933	32.27467	32.97527	32.67781	33.4657	32.871758	32.731995	32.52676	31.678299	32.43668	31.616924	32.993954	31.821848	31.7922	32.37825	31.616596	32.834778	32.99307	33.16548	33.118523	32.196507	32.25497	32.49291	32.19393	32.39715	32.563885	32.801094	32.229416	31.404617	33.47323	33.25128	32.61664	31.859674	34.19438	32.5755	32.012455	32.451	32.40802	31.90973	32.96617	32.836002	32.160027	32.965168	33.67995	31.640997	30.671637	31.108532	30.265062	30.998867	30.653053	30.406193	30.497953	31.610563	32.318687
